tgs_team_id,tgs_team_name,tgs_club_name,master_team_id,master_team_name,master_club_name,age_group,gender,state_code,match_method
121905,Socal Pride B2014 Flight 1,So Cal Pride FC,9da591ac-1e0c-4c83-87c6-5dd14f9d5056,Socal Pride B2014 Flight 1,So Cal Pride FC,u13,Male,,import
122388,TFA - AV B2013 - White,Total Futbol Academy,2cddd024-0638-42b6-946f-29489a5954c1,TFA - AV B2013 - White,Total Futbol Academy,u13,Male,,import
122715,Ventura County VC Fusion,VC Fusion,6e8f64e4-1781-4adc-82f5-a50744a9c682,Ventura County VC Fusion,VC Fusion,u13,Male,,import
106328,CCA G12 GA Aspire,Santa Barbara SC,0b1764ee-4148-4fb7-a6a6-7494be30b003,CCA G12 GA Aspire,Santa Barbara SC,u14,Female,,import
63947,Eagles SC ECNL G13,Eagles Soccer Club,60234fc8-1a5e-4a54-b37b-6e22c813e1b0,Eagles SC ECNL G13,Eagles Soccer Club,u14,Female,,import
114910,G2012 Black,Unico FC,f0bca1e1-fc6e-4212-bf5e-de707d233b2e,G2012 Black,Unico FC,u14,Female,,import
105213,IKONIK,NP Elite FC,d72e48b2-0275-49e4-9dfc-19a1000903c5,IKONIK,NP Elite FC,u14,Female,,import
56384,SoCal Pride FC G2012,So Cal Pride FC,55e76069-ca29-4bc1-9020-022a9451d1bb,SoCal Pride FC G2012,So Cal Pride FC,u14,Female,,import
106809,TFA-VC G2012,Total Futbol Academy-VC,e28a2958-b8d9-43fe-bac5-fa16fe15b499,TFA-VC G2012,Total Futbol Academy-VC,u14,Female,,import
124683,VC Oaks G2012 DPL,Oaks FC,8fc369af-3194-4777-bcb7-f3f5625c4949,VC Oaks G2012 DPL,Oaks FC,u14,Female,,import
56473,CCU South B12 White,Central Coast United SC,d75cd425-3680-47d0-8356-018b1ae711f4,CCU South B12 White,Central Coast United SC,u14,Male,,import
124700,LA Surf MLS 2013,LA Surf,4c676292-b8ff-4ec8-abfd-4f2d99744181,LA Surf MLS 2013,LA Surf,u14,Male,,import
122879,PSG,No Club Selection,a046a749-3a54-4d59-ab95-498a28e8f97a,PSG,No Club Selection,u14,Male,,import
122548,So Cal Pride FC B2012,So Cal Pride FC,c0b25df1-1c51-4e70-aa95-0b9b210e3e2e,So Cal Pride FC B2012,So Cal Pride FC,u14,Male,,import
98642,SoCal Pride B2012 Chacon,So Cal Pride FC,450b65a9-1d8b-4442-b637-825800e97cf4,SoCal Pride B2012 Chacon,So Cal Pride FC,u14,Male,,import
105338,B2017,Ventura Surf SC,4ffbfa0a-5057-459e-a72e-10740b8add8e,B2017,Ventura Surf SC,u9,Male,,import
113108,B2017 Black,South Valley Surf,067ffd57-0fb0-422e-a1da-1ac483d34a57,B2017 Black,South Valley Surf,u9,Male,,import
106974,Blue,Santa Barbara SC,daf32b7d-8c4b-4149-8166-6cab1e74565d,Blue,Santa Barbara SC,u9,Male,,import
105294,Juniors Soccer Academy B2017,cal south,7ebb54f5-bb01-422a-aba3-6f0250f5e5a4,Juniors Soccer Academy B2017,cal south,u9,Male,,import
114887,Legends FC SCV B17 Gold,Legends FC SCV,ed06a045-5113-4961-b5ec-8c83d742e2b1,Legends FC SCV B17 Gold,Legends FC SCV,u9,Male,,import
106225,Oxnard Wave FC B2017,Oxnard Wave FC,a970f8dd-c6fd-492f-9187-6c73f0922d0c,Oxnard Wave FC B2017,Oxnard Wave FC,u9,Male,,import
122637,United B2017 8U White,AYSO United,c6b29db6-65d7-41c6-8556-51ae2db9646a,United B2017 8U White,AYSO United,u9,Male,,import
