team_id_master,team_name,club_name,age_group,gender,notes
c7c0cadf-f540-4bad-908f-b691484d5590,Eagles- G2017,Eagles Soccer Club,u10,Female,Club not found in database or club has no state_code
9da591ac-1e0c-4c83-87c6-5dd14f9d5056,Socal Pride B2014 Flight 1,So Cal Pride FC,u13,Male,Club not found in database or club has no state_code
e28a2958-b8d9-43fe-bac5-fa16fe15b499,TFA-VC G2012,Total Futbol Academy-VC,u14,Female,Club not found in database or club has no state_code
88644632-baa5-44d0-a64e-6a9f7575d6a3,2014 Eagles White,Eagles Soccer Club,u12,Female,Club not found in database or club has no state_code
7c53195a-1d46-479c-817c-fc8c4b3e944d,Oxnard Eagles,No Club Selection,u11,Female,Club not found in database or club has no state_code
c0b25df1-1c51-4e70-aa95-0b9b210e3e2e,So Cal Pride FC B2012,So Cal Pride FC,u14,Male,Club not found in database or club has no state_code
cfa3a665-7fc8-4b1e-b478-50b5b1b16497,B2016,La Esperanza,u11,Male,Club not found in database or club has no state_code
5c90913c-21aa-44e1-b8f0-13be11cf71e1,G2014,Eagles Soccer Club,u13,Female,Club not found in database or club has no state_code
ce058714-f519-446b-acb9-75c7d30a7eac,G15 FC,Legends FC SCV,u12,Female,Club not found in database or club has no state_code
d1dafb1e-0522-494b-aee4-22ba6e048caf,G2016,Eagles Soccer Club,u11,Female,Club not found in database or club has no state_code
7bb366b6-6fde-4fe3-a24e-e4768323566c,Legends FC SCV G16,Legends FC SCV,u10,Female,Club not found in database or club has no state_code
8213385d-4f6c-40b0-b0f6-2f4fe681041c,Eagles SC Pre ECNL 2015 915,Eagles Soccer Club,u11,Male,Club not found in database or club has no state_code
3668143b-4481-4224-883a-1d08572575f9,Legends FC SCV B16 FC,Legends FC SCV,u10,Male,Club not found in database or club has no state_code
ed06a045-5113-4961-b5ec-8c83d742e2b1,Legends FC SCV B17 Gold,Legends FC SCV,u9,Male,Club not found in database or club has no state_code
52e14b94-ea8c-47b2-a305-6b5b4285d38b,ECNL G13,Slammers FC HB Koge,u14,Female,Club not found in database or club has no state_code
01536ac0-a067-4fcc-aa49-7e48f0ef2f92,G2014,Legends FC,u13,Female,Club not found in database or club has no state_code
cec8ed38-80a0-407d-b273-81fc4e0975b2,Gold 2014,Legends FC,u13,Female,Club not found in database or club has no state_code
aae6e74b-d413-42d8-9481-830e80f1b141,Beach 2015G South Bay Souza,Beach FC  (CA),u12,Female,Club not found in database or club has no state_code
497d2a31-e1e7-4489-99b6-83e4c887a0e6,Pre-ECNL G15,Slammers FC HB Koge,u11,Female,Club not found in database or club has no state_code
f5767c42-fd92-4fe1-a3b1-f7c334a7936f,SB G2015 Ortega,Beach FC  (CA),u11,Female,Club not found in database or club has no state_code
af67b39e-4921-4206-9bbd-1a7a5cbeb978,Beach FC (CA) G14 Pre-ECNL,Beach FC  (CA),u13,Female,Club not found in database or club has no state_code
714614a9-ec98-4392-aeff-ae6a26f2526c,Legends OC G16 Tustin,Legends FC OC,u10,Female,Club not found in database or club has no state_code
8fb4dacf-16f6-4cc3-b292-016f8f46d6e3,No Club Selection - FUTECA 2025 MISA B2015,Futeca FC,u11,Male,Club not found in database or club has no state_code
3f6854ff-5337-436c-91c9-0c9e5ae407e1,Orozco G12,Titans FC (CA),u14,Female,Club not found in database or club has no state_code
73bda279-1502-4b92-860c-85b8ff7c9653,No Club Selection - NW Elite 2012 Girls,Northwest Elite,u14,Female,Club not found in database or club has no state_code
58cc63dc-ab05-43fb-8cc0-fdc393c5718e,No Club Selection - NW ELITE 2013 Girls,Northwest Elite,u13,Female,Club not found in database or club has no state_code
3f0f674f-f2ca-4d24-a8db-349db3991382,Albion SC San Diego - Albion SCSan Diego G15 Pre-G,ALBION SC,u11,Female,Club not found in database or club has no state_code
a616cc0c-a6b8-423a-a56f-b23065d4c4f7,Beach FC (CA) SB G2017 Torres,Beach FC  (CA),u9,Female,Club not found in database or club has no state_code
2decb55c-e5fb-43d1-bdb2-51d0e85a8875,No Club Selection - NW ELITE 2013 Boys,Northwest Elite,u13,Male,Club not found in database or club has no state_code
c57299a3-79b4-46a3-a3d3-da8fda0f4493,SD Surf Central Academy Boys 2014 (Holohan),SD Central Surf,u12,Male,Club not found in database or club has no state_code
49568fcd-b6ab-40c2-bcec-0e1754e48e74,AFA B2016,No Club Selection,u10,Male,Club not found in database or club has no state_code
60d93f35-da5c-491e-941e-8a01861d4584,2015 Elite Crowley,CDA Slammers FC HB,u11,Female,Club not found in database or club has no state_code
950113a3-735a-450b-a580-80a85fc26cd0,CDA Slammers FC - Huntington Beach - 2017 Elite,CDA Slammers FC HB,u9,Female,Club not found in database or club has no state_code
7c5811df-8338-479b-8f5f-2e3cceae7b97,B2015 PDA Pre-NPL,Anaheim FC,u11,Male,Club not found in database or club has no state_code
75f39f6c-7317-47f8-b694-cbd10455dde2,No Club Selection - FUTECA 2025 EDSON B2016,Futeca FC,u10,Male,Club not found in database or club has no state_code
f60515e6-5e02-41fb-944b-878974919c07,Pre-ECNL G14,Slammers FC HB Koge,u13,Female,Club not found in database or club has no state_code
51dfaa17-1390-4680-9d8b-d7a70817bb1f,Beach FC (CA) - 2014 W. Lopez,Beach FC  (CA),u13,Female,Club not found in database or club has no state_code
d5eb33c1-be60-4269-b801-2ca617089ee7,Arizona Arsenal Pre-ECNL G14,AZ Arsenal,u13,Female,Club not found in database or club has no state_code
e8c25cec-4a06-4e9a-bc09-c8916b902f07,La FabricaGT,No Club Selection,u14,Male,Club not found in database or club has no state_code
750b16e0-103c-4c5b-88b8-6e5faecdb78a,G14 Larsen,CDA Slammers FC HB,u13,Female,Club not found in database or club has no state_code
2556f7f3-de6a-41c1-aefd-985d7095a3e2,HB G14 O'Brien,CDA Slammers FC HB,u12,Female,Club not found in database or club has no state_code
f2d849d3-473d-4758-a01a-802647063d05,Arsenal Pre-ECNL RL G14,Arizona Arsenal,u12,Female,Club not found in database or club has no state_code
c9456a46-95d1-4960-a990-50819810a586,B13 Black NL,Oceanside Breakers,u13,Male,Club not found in database or club has no state_code
0b488fc4-67e6-4813-972e-2435cf43523e,No Club Selection - FUTECA 2025 BRAULIO B2015,Futeca FC,u11,Male,Club not found in database or club has no state_code
30859c72-1074-45d4-abb6-3f80bdc706da,Test Team,Test Club,u13,Male,Club not found in database or club has no state_code
050c59c3-07e9-497d-8796-b8e96a9ac3c0,SB G2013 Ortega,Beach FC  (CA),u13,Female,Club not found in database or club has no state_code
4cfc12a4-11eb-424f-906c-872f925760c8,Beach FC (CA) - G2016 SB W. Lopez,Beach FC  (CA),u11,Female,Club not found in database or club has no state_code
a2126cb2-409e-4dce-896f-8928cdfea485,North 14B GSA,RSL-AZ,u12,Male,Club not found in database or club has no state_code
d3ae5ff5-146b-418e-9ac6-044b12e254b3,ECNL RL B13,FC United Iowa,u13,Male,Club not found in database or club has no state_code
9428673b-5f12-4fed-9777-f7d2042216e3,Red ECNL RL B13,Union KC,u13,Male,Club not found in database or club has no state_code
9503a191-1b7b-4505-87fe-9c2db5ac00ce,ECNL RL B08/07,Tupelo FC,u18,Male,Club not found in database or club has no state_code
94e8eced-2cfc-4810-8d1a-1f02524ff50e,ECNL RL B08/07,Chattanooga Red Wolves SC,u18,Male,Club not found in database or club has no state_code
091752fc-11fc-4b6f-a061-11497164dbed,ECNL RL B08/07,FC Alliance,u18,Male,Club not found in database or club has no state_code
15b6f17e-97bf-47d4-aa79-ade4a37f360d,ECNL RL B10,Germantown Legends,u16,Male,Club not found in database or club has no state_code
b976e5c7-4ca6-43f2-8937-8f81ab6ff1bd,ECNL RL B12,Lobos Rush,u14,Male,Club not found in database or club has no state_code
ec30f02d-3ba1-48e8-b6cf-e48f00f2fcc7,ECNL RL B13,Tupelo FC,u13,Male,Club not found in database or club has no state_code
fb4f00b7-8cfd-451b-bc5c-f7ba58fc10cb,ECNL RL B13,Chattanooga Red Wolves SC,u13,Male,Club not found in database or club has no state_code
3df82670-cfc1-4b65-801c-cd03d2513f30,Rockford Raptors ECNL RL B12,Rockford Raptors FC,u14,Male,Club not found in database or club has no state_code
