team_id_master,team_name,club_name,age_group,gender,matched_state_code,confidence,all_state_codes,state_code_count,review_notes
9caa353c-f765-46fe-a28c-7599b008057d,B2015 Pre-MLS Next - Jones,City SC Carlsbad,u11,Male,CA,single_state,CA,1,
e40a18b4-106d-4481-bcdc-8faef3774e12,SD Surf Academy (Keith W.),San Diego Surf,u9,Male,CA,single_state,CA,1,
160b479c-de2c-405d-854b-acb59677e7c2,ECNL G13,San Diego Surf,u14,Female,CA,single_state,CA,1,
0b2fa4c0-e342-493a-86dc-c02f1de01b5d,Central ECNL RL G12,Colorado Rapids,u14,Female,CO,single_state,CO,1,
1b46adf3-4afd-42ab-8ea3-b140b0c6584e,ECNL G13,SLAMMERS FC,u13,Female,CA,single_state,CA,1,
5186d1b1-6cfb-4ac1-b86e-95aad5941f64,Impact SC 14G,Impact United,u13,Female,UT,single_state,UT,1,
f2eee389-5a66-4a3d-8d94-3c78293aa885,ECNL-RL G13 South,Colorado Rapids,u13,Female,CO,single_state,CO,1,
e2c7be7e-58c0-4512-9f78-fedaefa063f2,PreECNL G15,Pateadores,u11,Female,CA,single_state,CA,1,
c8c8df8f-50b4-4e72-a857-c67ccaac41e8,2016 Elite Ruiz,Rebels SC,u10,Female,CA,single_state,CA,1,
f2767b08-00e3-4535-af8e-0bfac0259eca,G2017 Otto Lime,So Cal Blues SC,u9,Female,CA,single_state,CA,1,
b3bb8ed4-d0f5-4ad4-b116-3fcfa8a3b412,ECNL B12,Pateadores,u14,Male,CA,single_state,CA,1,
8ba57eca-83a2-4b93-ae52-a59417c53cf9,U13 Yellow Villarre,Villarreal Las Vegas Academy,u14,Male,NV,single_state,NV,1,
7564a374-1571-44c5-b961-69eed3abe60d,b2012 Avory,City SC Carlsbad,u14,Male,CA,single_state,CA,1,
e9f0ec16-d7ca-4e5e-92df-dc895f660da7,Albion SC Las Vegas - Academy I,ALBION SC Las Vegas,u11,Male,NV,single_state,NV,1,
f8577e83-ecfd-46e9-a320-377ec7ef4277,Nero,California RUSH Soccer Club,u10,Male,CA,single_state,CA,1,
7560ab6c-6077-4c31-9f95-2060dc9f9ba4,ECNL G12,Pateadores,u14,Female,CA,single_state,CA,1,
bf96398e-3254-45f1-bf80-0a6cecb5e074,ECNL RL G12,Burlingame SC,u14,Female,CA,single_state,CA,1,
fc7672bb-adbd-427f-820b-412e7d19b237,ECS 2012 G Elite,Elmhurst City Surf,u14,Female,IL,single_state,IL,1,
7bc4288e-30fc-4b63-b31a-b217711e87e5,Sound FC G12A,Sound FC,u14,Female,WA,single_state,WA,1,
52b75cb2-609c-4d10-9d3d-dd156a962f09,ECNL G13,Pateadores,u13,Female,CA,single_state,CA,1,
bd1a7b2d-0969-415b-9519-b1ef79ae5362,ECNL RL Southwest G13,San Diego Surf,u13,Female,CA,single_state,CA,1,
69517dab-bad4-444b-9344-4f8e815fb341,U13-2013 BLACK,Indie Chicas Soccer Club,u13,Female,ID,single_state,ID,1,
c7f83b7b-0751-4a85-81d7-fc09d02fa170,14G PRE-GA,SDSC Surf,u12,Female,CA,single_state,CA,1,
7cca834e-e623-45d6-809c-855aa56cd55b,G2017 Zizzo Black,Sporting San Diego,u9,Female,CA,single_state,CA,1,
61aa550f-b0d6-464c-99e1-a9ac6321d2c3,B2012 EA,ALBION SC Santa Monica,u14,Male,CA,single_state,CA,1,
120ff64d-8ddc-45ee-b557-1889635084ac,2012B ECNL-RL,San Ramon FC,u14,Male,CA,single_state,CA,1,
d4fb5edb-bbf4-4d92-8bde-9a873579ff3e,U13 EA - SA,Villarreal Las Vegas Academy,u13,Male,NV,single_state,NV,1,
a4d7482a-5b7e-4fe5-9b77-5267ec86ebf0,ECNL B13,Santa Clara Sporting,u13,Male,CA,single_state,CA,1,
952eac13-4c40-436a-b4bb-4b27b58fcce8,B2013 EA,ALBION SC Santa Monica,u13,Male,CA,single_state,CA,1,
2daf3a68-f695-4449-b473-a5004d1553ef,Slammers FC Maroon ECNL RL B13,SLAMMERS FC,u13,Male,CA,single_state,CA,1,
5abe9e6b-6154-4d6b-ad1a-0899185e92eb,Pre-ECNL B14 II,San Diego Surf,u12,Male,CA,single_state,CA,1,
34cab4fd-c4c1-4ad6-acc3-6f7ba9221fdd,South Valley Surf B2017,South Valley Surf,u9,Male,CA,single_state,CA,1,
fdce4e31-f16b-464a-8b87-8bb08be0f122,ECNL-RL G12 South,Colorado Rapids,u14,Female,CO,single_state,CO,1,
50e61665-9c08-4ae0-b9fd-23161422ff25,Phoenix Rising ECNL G13,Phoenix Rising FC,u13,Female,AZ,single_state,AZ,1,
013666fc-5b95-4540-a780-27cad8b2d9b5,Rebels SC G15 Pre-ECRL Ruiz,Rebels SC,u11,Female,CA,single_state,CA,1,
f4dc4dbb-30cf-45ae-97b8-12f1b0521837,ECNL B12,San Diego Surf,u14,Male,CA,single_state,CA,1,
f052f6a1-bfcb-4c6b-81d9-368a4768cc76,Slammers FC ECNL B12,SLAMMERS FC,u14,Male,CA,single_state,CA,1,
1ad95fe4-581f-4f6d-afdd-cd775beaa0db,East Academy Blue ECNL RL B12,Colorado Rush,u14,Male,CO,single_state,CO,1,
66565220-5bd5-41f7-8586-3cda52fb350a,ECNL B13,San Diego Surf,u13,Male,CA,single_state,CA,1,
ec7b21f9-ef74-441a-94b9-ce70d5d39343,Pre-ECNL B14 I,San Diego Surf,u12,Male,CA,single_state,CA,1,
210cf9a1-603c-4ea9-be30-5a4fb45b314a,U12 Yellow EA,Villarreal Las Vegas Academy,u12,Male,NV,single_state,NV,1,
b9a8070e-03d0-4d52-9522-6bc183d2b032,B2015 EA,ALBION SC Santa Monica,u11,Male,CA,single_state,CA,1,
b6628182-0778-451c-a72f-28e524b52624,Academy Boys 2015 (Penate),San Diego Surf,u11,Male,CA,single_state,CA,1,
c3edfa32-5a4d-4243-aebf-94f374c9e2c6,B2018 Valdivia,San Diego Surf,u9,Male,CA,single_state,CA,1,
38e24c90-5419-4572-9f32-3d47533a91f7,ECNL G13,LAFC So Cal,u13,Female,CA,single_state,CA,1,
1a22d41a-cdf8-4a97-9a19-e917a479b0a9,Legends FC San Diego - Elite 64 NL,Legends FC SD,u13,Female,CA,single_state,CA,1,
8cfc6550-b53a-48ea-9bcb-fe234d6dc69d,Red Devils FC,Inter-america,u13,Male,CA,single_state,CA,1,
7ed0d6de-348c-4696-96e5-1c6bf84f456f,B2014 EA - Jones,City SC Carlsbad,u12,Male,CA,single_state,CA,1,
46dd906c-9fc2-4b8a-aa15-6d22adc2ca26,Academy Boys 2014 (Allen),San Diego Surf,u12,Male,CA,single_state,CA,1,
b606a34a-267d-4532-8808-5105717f613c,2013 ECNL-RL,AC Marin,u13,Female,CA,single_state,CA,1,
fa5341e7-91d5-4b78-9d33-379a6531a7ab,Stanford Strikers 13G ECNL-RL,Stanford Strikers FC,u13,Female,CA,single_state,CA,1,
dee3bc88-7203-40d3-9f2f-2d945cfd0e31,Next Level Soccer 12 Black,Next Level Soccer,u14,Male,MD,single_state,MD,1,
a2635d07-4b64-4fd1-9d25-7956e9d6faa5,ECNL RL B13 Blue,San Diego Surf,u13,Male,CA,single_state,CA,1,
5aaf26c2-484b-4035-b307-53e750c90353,ECNL RL B13,1974 Newark FC,u13,Male,CA,single_state,CA,1,
31a6efac-cf74-4db7-a993-6ecd1c02aa6c,Academy Boys 2014 (Blake),San Diego Surf,u12,Male,CA,single_state,CA,1,
37a5de02-e86d-4fcf-bfb2-9c8057211eef,Nero,California RUSH Soccer Club,u11,Male,CA,single_state,CA,1,
1b57f0a9-23f2-4c3e-972e-1682ee2cd3e1,Tennessee SC ECNL RL B10,Tennessee Soccer Club,u16,Male,TN,single_state,TN,1,
46cea158-a2fb-4d8b-8ee2-7ee83f19f86d,Tennessee SC ECNL RL B12,Tennessee Soccer Club,u14,Male,TN,single_state,TN,1,
6a39f658-ff6a-489f-9e19-8ad506174d15,FC WISCONSIN ECNL RL B12,FC WISCONSIN BOYS,u14,Male,WI,single_state,WI,1,
6535d3d8-d566-42b6-8914-8d217144c4b9,ECNL RL B12,Louisiana Fire Soccer Club,u14,Male,LA,single_state,LA,1,
7c635da8-d55d-4585-81e9-a4e72c8d4872,ECNL RL B12,Kansas Rush,u14,Male,KS,single_state,KS,1,
0c43f943-c098-4943-bdf8-667c1a1bd2c4,ECNL RL B08/07,Utah Avalanche,u18,Male,UT,single_state,UT,1,
1abb5fe1-6bb8-4359-8ebe-8c0922b35ada,ECNL RL B08/07,CCV Stars,u18,Male,AZ,single_state,AZ,1,
d1993e87-d6f7-40a5-8d50-21a7d0f57028,ECNL RL B08/07,PlayMaker Futbol Academy,u18,Male,AZ,single_state,AZ,1,
60130f65-130b-4d21-95ef-74dfe32709d7,ECNL RL B08/07,FC Arizona,u18,Male,AZ,single_state,AZ,1,
dbd9cc42-aee3-422f-a0ad-f141f55d0ffd,ECNL RL B08/07,Union 10 FC,u18,Male,AL,single_state,AL,1,
69729012-4a0b-4b73-87f8-2d552a99ce7e,ECNL RL B12,CCV Stars,u14,Male,AZ,single_state,AZ,1,
d6b211e4-d65a-4eda-9e27-47aa9508d570,ECNL RL B08/07,Gulf Coast United FC,u18,Male,MS,single_state,MS,1,
4356cc44-73c7-4a61-86da-5cf836f69e6e,ECNL RL B10,Gulf Coast United FC,u16,Male,MS,single_state,MS,1,
ae195326-4489-4512-ab7c-9992c74b970f,ECNL RL B13,Louisiana Fire Soccer Club,u13,Male,LA,single_state,LA,1,
