team_id_master,team_name,club_name,age_group,gender,state,state_code,provider_team_id,notes
f6815bea-e0c9-4e8a-ab40-80571f73891d,Nomads U16,Nomads,u16,Male,,CA,57,
5c415d72-c375-491d-908f-3c4c47018562,Lamorinda Soccer Club U16,Lamorinda Soccer Club,u16,Male,,CA,411,
eceacc39-b413-4d0f-9770-d502fce6a51c,Portland Timbers U16,Portland Timbers,u16,Male,,OR,4,
bd0cbb21-3bed-4864-9b4c-8ae4d3a5abb3,ALBION SC Los Angeles U16,ALBION SC Los Angeles,u16,Male,,CA,103,
60dbd536-ee9c-4d4f-939e-526d6f0617a9,Sacramento United U16,Sacramento United,u16,Male,,CA,564,
1d7ce699-c627-4a7f-8f40-bb30e611c9e7,Queen City Mutiny FC U16,Queen City Mutiny FC,u16,Male,,NC,472,
c0b9120f-13f6-4296-b748-4893ebb5f314,Inter Miami CF U16,Inter Miami CF,u16,Male,,FL,335,
7de6fe7f-9934-4c42-b533-9ee8831ddabd,Columbus Crew U16,Columbus Crew,u16,Male,,OH,58,
ab5f3673-497e-4a9d-95dd-796095d48184,Houston Dynamo FC U16,Houston Dynamo FC,u16,Male,,TX,44,
2a58e2d6-e113-4aa4-b687-720e7e0db003,Weston FC U16,Weston FC,u16,Male,,FL,11,
61e06bf7-d547-40b0-9bc8-c94bdc843dfe,Houston Rangers U16,Houston Rangers,u16,Male,,TX,868,
2edbd6b0-8e6f-4f2e-b913-d19bb2c2f611,Southern Soccer Academy U16,Southern Soccer Academy,u16,Male,,GA,name:southern-soccer-academy,
8923fc6b-dedb-4dcd-89fa-1a7836347563,FC Tucson Youth Soccer Club U16,FC Tucson Youth Soccer Club,u16,Male,,AZ,580,
6204a21f-8cce-43c4-b1c2-93ce7dbe8ed9,Orlando City SC U16,Orlando City SC,u16,Male,,FL,22,
26e4b8e4-9838-4f55-9d93-a74671754836,San Jose Earthquakes U16,San Jose Earthquakes,u16,Male,,CA,9,
ac4e07e2-4bad-4db9-b196-8f2184eef024,Real Salt Lake U16,Real Salt Lake,u16,Male,,AZ,107,
63e6d38d-2c99-468e-aef5-36da0d6a5af6,San Francisco Glens SC U16,San Francisco Glens SC,u16,Male,,CA,409,
d25dfa0c-c4bc-456c-9079-5d3a65f58317,Orlando City Youth SC U16,Orlando City Youth SC,u16,Male,,FL,364,
807f23f2-bdb2-4390-9fdd-182ffd6be03d,Seattle Sounders FC U16,Seattle Sounders FC,u16,Male,,WA,5,
7dc1f967-07ce-48b3-9e5c-bdf619de7b76,Charlotte FC U16,Charlotte FC,u16,Male,,NC,398,
ca20fade-a5b0-4f15-b8e0-a86d7d6a8449,Achilles FC U16,Achilles FC,u16,Male,,MD,371,
691ad5fe-f21e-468e-8a6e-851d4644a919,Phoenix Premier FC U16,Phoenix Premier FC,u16,Male,,AZ,1134,
78064d89-cd7b-4a1e-aef2-be2e607bf400,Sol SC Florida U16,Sol SC Florida,u16,Male,,FL,363,
828c32df-d4d8-4f16-be57-e1c97c1af36c,IDEA Toros Fútbol Academy U16,IDEA Toros Fútbol Academy,u16,Male,,TX,963,
49c99f71-58ce-48eb-b87a-b2ebb9da6a3a,NONA Soccer Academy U16,NONA Soccer Academy,u16,Male,,FL,585,
b2356a5f-414f-4d9f-96df-9168d0185f02,Lanier Soccer Association U16,Lanier Soccer Association,u16,Male,,GA,382,
