provider,scrape_run_id,event_id,event_name,schedule_id,age_year,gender,team_id,team_id_source,team_name,club_name,opponent_id,opponent_id_source,opponent_name,opponent_club_name,game_date,game_time,home_away,goals_for,goals_against,result,venue,source_url,scraped_at
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,68859,68859,FC Westlake ECNL RL B08/07,FC Westlake,80329,80329,HTX S ECNL RL B08/07,HTX Soccer,2025-08-30,13:00:00,H,3,1,W,FIELD 4,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,80329,80329,HTX S ECNL RL B08/07,HTX Soccer,68859,68859,FC Westlake ECNL RL B08/07,FC Westlake,2025-08-30,13:00:00,A,1,3,L,FIELD 4,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,55417,55417,Oklahoma Celtic ECNL RL B08/07,Oklahoma Celtic Football Club,68919,68919,DKSC ECNL RL B08/07,DKSC,2025-08-30,15:00:00,H,3,3,D,Field 20,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,68919,68919,DKSC ECNL RL B08/07,DKSC,55417,55417,Oklahoma Celtic ECNL RL B08/07,Oklahoma Celtic Football Club,2025-08-30,15:00:00,A,3,3,D,Field 20,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,57773,57773,San Antonio City SC ECNL RL B08/07,San Antonio City SC,80401,80401,RISE SC ECNL Navy RL B08/07,RISE SC,2025-08-30,15:00:00,H,0,3,L,Field 3,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,80401,80401,RISE SC ECNL Navy RL B08/07,RISE SC,57773,57773,San Antonio City SC ECNL RL B08/07,San Antonio City SC,2025-08-30,15:00:00,A,3,0,W,Field 3,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,57761,57761,OK Energy FC ECNL RL B08/07,Oklahoma Energy FC,68919,68919,DKSC ECNL RL B08/07,DKSC,2025-08-31,13:00:00,H,,,U,NOKC Red 4,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,68919,68919,DKSC ECNL RL B08/07,DKSC,57761,57761,OK Energy FC ECNL RL B08/07,Oklahoma Energy FC,2025-08-31,13:00:00,A,,,U,NOKC Red 4,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,55417,55417,Oklahoma Celtic ECNL RL B08/07,Oklahoma Celtic Football Club,56485,56485,BVBIA ECNL RL B08/07,BVB International Academy,2025-08-31,14:00:00,H,1,0,W,Field 20,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,56485,56485,BVBIA ECNL RL B08/07,BVB International Academy,55417,55417,Oklahoma Celtic ECNL RL B08/07,Oklahoma Celtic Football Club,2025-08-31,14:00:00,A,0,1,L,Field 20,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,95200,95200,SAFC Red ECNL RL B08/07,San Antonio FC,80401,80401,RISE SC ECNL Navy RL B08/07,RISE SC,2025-08-31,15:00:00,H,2,1,W,Field 14,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,80401,80401,RISE SC ECNL Navy RL B08/07,RISE SC,95200,95200,SAFC Red ECNL RL B08/07,San Antonio FC,2025-08-31,15:00:00,A,1,2,L,Field 14,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,95200,95200,SAFC Red ECNL RL B08/07,San Antonio FC,68859,68859,FC Westlake ECNL RL B08/07,FC Westlake,2025-09-06,09:00:00,H,1,3,L,Field 5,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,68859,68859,FC Westlake ECNL RL B08/07,FC Westlake,95200,95200,SAFC Red ECNL RL B08/07,San Antonio FC,2025-09-06,09:00:00,A,3,1,W,Field 5,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,50722,50722,HOUSTONIANS FC ECNL RL B08/07,Houstonians Futbol Club,80400,80400,RISE SC ECNL White RL B08/07,RISE SC,2025-09-06,09:00:00,H,4,0,W,Field 1,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,80400,80400,RISE SC ECNL White RL B08/07,RISE SC,50722,50722,HOUSTONIANS FC ECNL RL B08/07,Houstonians Futbol Club,2025-09-06,09:00:00,A,0,4,L,Field 1,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,114700,114700,Lonestar Soccer Club ECNL RL B08/07,Lonestar Soccer Club,66745,66745,CHALLENGE UNITED ECNL RL B08/07,Challenge SC,2025-09-06,11:00:00,H,1,3,L,Field 1,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,66745,66745,CHALLENGE UNITED ECNL RL B08/07,Challenge SC,114700,114700,Lonestar Soccer Club ECNL RL B08/07,Lonestar Soccer Club,2025-09-06,11:00:00,A,3,1,W,Field 1,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
tgs,2025-12-11T22:33:46.052642+00:00_2c88c8,3913,ECNL RL Boys Texas 2025-26,33763,2008,Boys,57773,57773,San Antonio City SC ECNL RL B08/07,San Antonio City SC,95207,95207,SAFC Black ECNL RL B08/07,San Antonio FC,2025-09-06,13:00:00,H,1,1,D,Field 3,https://public.totalglobalsports.com/public/event/3913,2025-12-11T22:33:46.052642+00:00
