provider,scrape_run_id,event_id,event_name,schedule_id,age_year,age_group,gender,team_id,team_id_source,team_name,club_name,opponent_id,opponent_id_source,opponent_name,opponent_club_name,state,state_code,game_date,game_time,home_away,goals_for,goals_against,result,venue,source_url,scraped_at
tgs,2025-12-12T17:22:22.166384+00:00_11588f,3951,Event 3951,33060,2008,u18,Girls,47027,47027,Ohio Premier ECNL RL G08/07,Ohio Premier,47004,47004,Internationals SC ECNL RL G08/07,Internationals SC,,,2025-11-22,15:00:00,H,3,1,W,field 4,https://public.totalglobalsports.com/public/event/3951,2025-12-12T17:22:22.166384+00:00
tgs,2025-12-12T17:22:22.166384+00:00_11588f,3951,Event 3951,33060,2008,u18,Girls,47004,47004,Internationals SC ECNL RL G08/07,Internationals SC,47027,47027,Ohio Premier ECNL RL G08/07,Ohio Premier,,,2025-11-22,15:00:00,A,1,3,L,field 4,https://public.totalglobalsports.com/public/event/3951,2025-12-12T17:22:22.166384+00:00
tgs,2025-12-12T17:22:22.166384+00:00_11588f,3951,Event 3951,33060,2008,u18,Girls,66152,66152,GTFC Impact ECNL RL G08/07,GTFC Impact,56273,56273,Cleveland Force SC ECNL RL G08/07,Cleveland Force SC,,,2025-11-22,16:00:00,H,3,2,W,Field 1,https://public.totalglobalsports.com/public/event/3951,2025-12-12T17:22:22.166384+00:00
tgs,2025-12-12T17:22:22.166384+00:00_11588f,3951,Event 3951,33060,2008,u18,Girls,56273,56273,Cleveland Force SC ECNL RL G08/07,Cleveland Force SC,66152,66152,GTFC Impact ECNL RL G08/07,GTFC Impact,,,2025-11-22,16:00:00,A,2,3,L,Field 1,https://public.totalglobalsports.com/public/event/3951,2025-12-12T17:22:22.166384+00:00
tgs,2025-12-12T17:22:22.166384+00:00_11588f,3951,Event 3951,33060,2008,u18,Girls,47034,47034,Pittsburgh Riverhounds ECNL RL G08/07,Pittsburgh Riverhounds,68223,68223,NWI Lions United ECNL RL G08/07,NWI Lions United,,,2025-11-22,16:00:00,H,1,3,L,Field 1,https://public.totalglobalsports.com/public/event/3951,2025-12-12T17:22:22.166384+00:00
tgs,2025-12-12T17:22:22.166384+00:00_11588f,3951,Event 3951,33060,2008,u18,Girls,68223,68223,NWI Lions United ECNL RL G08/07,NWI Lions United,47034,47034,Pittsburgh Riverhounds ECNL RL G08/07,Pittsburgh Riverhounds,,,2025-11-22,16:00:00,A,3,1,W,Field 1,https://public.totalglobalsports.com/public/event/3951,2025-12-12T17:22:22.166384+00:00
tgs,2025-12-12T17:22:22.166384+00:00_11588f,3951,Event 3951,33060,2008,u18,Girls,47039,47039,WNY Flash ECNL RL G08/07,WNY Flash,67932,67932,Indiana Elite FC ECNL RL G08/07,Indiana Elite FC,,,2025-11-22,16:30:00,H,4,0,W,Field A,https://public.totalglobalsports.com/public/event/3951,2025-12-12T17:22:22.166384+00:00
tgs,2025-12-12T17:22:22.166384+00:00_11588f,3951,Event 3951,33060,2008,u18,Girls,67932,67932,Indiana Elite FC ECNL RL G08/07,Indiana Elite FC,47039,47039,WNY Flash ECNL RL G08/07,WNY Flash,,,2025-11-22,16:30:00,A,0,4,L,Field A,https://public.totalglobalsports.com/public/event/3951,2025-12-12T17:22:22.166384+00:00
tgs,2025-12-12T17:22:22.166384+00:00_11588f,3951,Event 3951,33060,2008,u18,Girls,47027,47027,Ohio Premier ECNL RL G08/07,Ohio Premier,56273,56273,Cleveland Force SC ECNL RL G08/07,Cleveland Force SC,,,2025-11-23,15:00:00,H,4,1,W,field 4,https://public.totalglobalsports.com/public/event/3951,2025-12-12T17:22:22.166384+00:00
tgs,2025-12-12T17:22:22.166384+00:00_11588f,3951,Event 3951,33060,2008,u18,Girls,56273,56273,Cleveland Force SC ECNL RL G08/07,Cleveland Force SC,47027,47027,Ohio Premier ECNL RL G08/07,Ohio Premier,,,2025-11-23,15:00:00,A,1,4,L,field 4,https://public.totalglobalsports.com/public/event/3951,2025-12-12T17:22:22.166384+00:00
