scrape_run_id,event_id,schedule_id,age_year,gender,team_name,opponent_name,game_date,game_time,home_away,goals_for,goals_against,result,venue,source_url,scraped_at
2025-12-11T02:34:37.901144+00:00_0b0e86,4067,35457,2012,G,Arizona Arsenal ECNL G12,San Diego Surf ECNL RL Southwest G12,2025-12-06T07:45:00,07:45:00,H,3,,U,Field 3 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T02:34:37.901144+00:00
2025-12-11T02:34:37.901144+00:00_0b0e86,4067,35457,2012,G,San Diego Surf ECNL RL Southwest G12,Arizona Arsenal ECNL G12,2025-12-06T07:45:00,07:45:00,A,,3,U,Field 3 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T02:34:37.901144+00:00
2025-12-11T02:34:37.901144+00:00_0b0e86,4067,35457,2012,G,San Diego Surf ECNL G12,Titans FC (CA) - Orozco G12,2025-12-06T08:15:00,08:15:00,H,11,,U,Field 7 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T02:34:37.901144+00:00
2025-12-11T02:34:37.901144+00:00_0b0e86,4067,35457,2012,G,Titans FC (CA) - Orozco G12,San Diego Surf ECNL G12,2025-12-06T08:15:00,08:15:00,A,,11,U,Field 7 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T02:34:37.901144+00:00
2025-12-11T02:34:37.901144+00:00_0b0e86,4067,35457,2012,G,Pateadores ECNL G12,San Diego Surf - ECNL G13,2025-12-06T08:15:00,08:15:00,H,1,3,L,Field 8 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T02:34:37.901144+00:00
2025-12-11T02:34:37.901144+00:00_0b0e86,4067,35457,2012,G,San Diego Surf - ECNL G13,Pateadores ECNL G12,2025-12-06T08:15:00,08:15:00,A,3,1,W,Field 8 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T02:34:37.901144+00:00
2025-12-11T02:34:37.901144+00:00_0b0e86,4067,35457,2012,G,Phoenix Rising ECNL G12,Slammers FC HB Koge ECNL G13,2025-12-06T09:00:00,09:00:00,H,2,3,L,Field 4 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T02:34:37.901144+00:00
2025-12-11T02:34:37.901144+00:00_0b0e86,4067,35457,2012,G,Slammers FC HB Koge ECNL G13,Phoenix Rising ECNL G12,2025-12-06T09:00:00,09:00:00,A,3,2,W,Field 4 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T02:34:37.901144+00:00
2025-12-11T02:34:37.901144+00:00_0b0e86,4067,35457,2012,G,Slammers FC HB Koge ECNL G13,San Diego Surf ECNL G12,2025-12-06T12:00:00,12:00:00,H,,1,U,Field 5 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T02:34:37.901144+00:00
2025-12-11T02:34:37.901144+00:00_0b0e86,4067,35457,2012,G,San Diego Surf ECNL G12,Slammers FC HB Koge ECNL G13,2025-12-06T12:00:00,12:00:00,A,1,,U,Field 5 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T02:34:37.901144+00:00
