provider,scrape_run_id,event_id,event_name,schedule_id,age_year,age_group,gender,team_id,team_id_source,team_name,club_name,opponent_id,opponent_id_source,opponent_name,opponent_club_name,state,state_code,game_date,game_time,home_away,goals_for,goals_against,result,venue,source_url,scraped_at
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,46537,46537,CESA Liberty ECNL RL G08/07,Carolina Elite Soccer Academy,57566,57566,Concorde Fire Platinum ECNL RL G08/07,Concorde Fire,,,2025-08-23,13:00:00,H,3,0,W,Field 13,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,57566,57566,Concorde Fire Platinum ECNL RL G08/07,Concorde Fire,46537,46537,CESA Liberty ECNL RL G08/07,Carolina Elite Soccer Academy,,,2025-08-23,13:00:00,A,0,3,L,Field 13,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,109207,109207,South Carolina Surf ECNL RL G08/07,South Carolina Surf,57551,57551,Alabama FC ECNL RL G08/07,Alabama FC,,,2025-08-23,13:00:00,H,2,0,W,Field 3,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,57551,57551,Alabama FC ECNL RL G08/07,Alabama FC,109207,109207,South Carolina Surf ECNL RL G08/07,South Carolina Surf,,,2025-08-23,13:00:00,A,0,2,L,Field 3,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,46561,46561,South Carolina United ECNL RL G08/07,South Carolina United,57572,57572,Concorde Fire Premier ECNL RL G08/07,Concorde Fire,,,2025-08-23,15:00:00,H,2,2,D,Field 3,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,57572,57572,Concorde Fire Premier ECNL RL G08/07,Concorde Fire,46561,46561,South Carolina United ECNL RL G08/07,South Carolina United,,,2025-08-23,15:00:00,A,2,2,D,Field 3,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,113760,113760,Charlotte SA Gold ECNL RL G08/07,Charlotte SA,57577,57577,GSA ECNL RL G08/07,Gwinnett Soccer Academy,,,2025-08-23,17:00:00,H,4,4,D,field 1,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,57577,57577,GSA ECNL RL G08/07,Gwinnett Soccer Academy,113760,113760,Charlotte SA Gold ECNL RL G08/07,Charlotte SA,,,2025-08-23,17:00:00,A,4,4,D,field 1,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,46561,46561,South Carolina United ECNL RL G08/07,South Carolina United,57551,57551,Alabama FC ECNL RL G08/07,Alabama FC,,,2025-08-24,09:00:00,H,1,0,W,Field 2,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,57551,57551,Alabama FC ECNL RL G08/07,Alabama FC,46561,46561,South Carolina United ECNL RL G08/07,South Carolina United,,,2025-08-24,09:00:00,A,0,1,L,Field 2,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,57583,57583,United Futbol Academy ECNL RL G08/07,United Futbol Academy,57557,57557,Atlanta Fire United ECNL RL G08/07,Atlanta Fire United,,,2025-08-24,11:00:00,H,1,1,D,Field 8,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,57557,57557,Atlanta Fire United ECNL RL G08/07,Atlanta Fire United,57583,57583,United Futbol Academy ECNL RL G08/07,United Futbol Academy,,,2025-08-24,11:00:00,A,1,1,D,Field 8,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,46537,46537,CESA Liberty ECNL RL G08/07,Carolina Elite Soccer Academy,57577,57577,GSA ECNL RL G08/07,Gwinnett Soccer Academy,,,2025-08-24,11:00:00,H,0,1,L,Field 13,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,57577,57577,GSA ECNL RL G08/07,Gwinnett Soccer Academy,46537,46537,CESA Liberty ECNL RL G08/07,Carolina Elite Soccer Academy,,,2025-08-24,11:00:00,A,1,0,W,Field 13,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,109207,109207,South Carolina Surf ECNL RL G08/07,South Carolina Surf,57572,57572,Concorde Fire Premier ECNL RL G08/07,Concorde Fire,,,2025-08-24,11:00:00,H,2,0,W,Field 3,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,57572,57572,Concorde Fire Premier ECNL RL G08/07,Concorde Fire,109207,109207,South Carolina Surf ECNL RL G08/07,South Carolina Surf,,,2025-08-24,11:00:00,A,0,2,L,Field 3,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,113760,113760,Charlotte SA Gold ECNL RL G08/07,Charlotte SA,57566,57566,Concorde Fire Platinum ECNL RL G08/07,Concorde Fire,,,2025-08-24,15:00:00,H,2,1,W,field 1,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,57566,57566,Concorde Fire Platinum ECNL RL G08/07,Concorde Fire,113760,113760,Charlotte SA Gold ECNL RL G08/07,Charlotte SA,,,2025-08-24,15:00:00,A,1,2,L,field 1,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,57557,57557,Atlanta Fire United ECNL RL G08/07,Atlanta Fire United,109207,109207,South Carolina Surf ECNL RL G08/07,South Carolina Surf,,,2025-08-30,11:00:00,H,1,1,D,Turf,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
tgs,2025-12-12T17:33:46.839280+00:00_597fce,3952,Event 3952,33066,2008,u18,Girls,109207,109207,South Carolina Surf ECNL RL G08/07,South Carolina Surf,57557,57557,Atlanta Fire United ECNL RL G08/07,Atlanta Fire United,,,2025-08-30,11:00:00,A,1,1,D,Turf,https://public.totalglobalsports.com/public/event/3952,2025-12-12T17:33:46.839280+00:00
