scrape_run_id,event_id,schedule_id,age_year,gender,team_id,team_id_source,team_name,opponent_id,opponent_id_source,opponent_name,game_date,game_time,home_away,goals_for,goals_against,result,venue,source_url,scraped_at
2025-12-11T03:46:43.837100+00:00_880f96,4067,35457,2012,G,tgs:2246264e665e,tgs:2246264e665e,Titans FC (CA) - Orozco G12,tgs:533b8a85b8bf,tgs:533b8a85b8bf,Phoenix Rising ECNL G12,2025-12-06T12:00:00,12:00:00,H,0,6,L,Field 6 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35457,2012,G,tgs:533b8a85b8bf,tgs:533b8a85b8bf,Phoenix Rising ECNL G12,tgs:2246264e665e,tgs:2246264e665e,Titans FC (CA) - Orozco G12,2025-12-06T12:00:00,12:00:00,A,6,0,W,Field 6 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35457,2012,G,tgs:26b3ec3b2402,tgs:26b3ec3b2402,San Diego Surf - ECNL G13,tgs:9012adc83edf,tgs:9012adc83edf,Arizona Arsenal ECNL G12,2025-12-06T12:00:00,12:00:00,H,3,2,W,Field 7 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35457,2012,G,tgs:9012adc83edf,tgs:9012adc83edf,Arizona Arsenal ECNL G12,tgs:26b3ec3b2402,tgs:26b3ec3b2402,San Diego Surf - ECNL G13,2025-12-06T12:00:00,12:00:00,A,2,3,L,Field 7 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35457,2012,G,tgs:9960f10e35e3,tgs:9960f10e35e3,San Diego Surf ECNL RL Southwest G12,tgs:bebee6f361c3,tgs:bebee6f361c3,Pateadores ECNL G12,2025-12-06T12:00:00,12:00:00,H,0,3,L,Field 8 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35457,2012,G,tgs:bebee6f361c3,tgs:bebee6f361c3,Pateadores ECNL G12,tgs:9960f10e35e3,tgs:9960f10e35e3,San Diego Surf ECNL RL Southwest G12,2025-12-06T12:00:00,12:00:00,A,3,0,W,Field 8 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35457,2012,G,tgs:9738534c2c36,tgs:9738534c2c36,San Diego Surf ECNL G12,tgs:533b8a85b8bf,tgs:533b8a85b8bf,Phoenix Rising ECNL G12,2025-12-07T11:00:00,11:00:00,H,2,0,W,Field 6 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35457,2012,G,tgs:533b8a85b8bf,tgs:533b8a85b8bf,Phoenix Rising ECNL G12,tgs:9738534c2c36,tgs:9738534c2c36,San Diego Surf ECNL G12,2025-12-07T11:00:00,11:00:00,A,0,2,L,Field 6 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35457,2012,G,tgs:86fdb6567f28,tgs:86fdb6567f28,Slammers FC HB Koge ECNL G13,tgs:2246264e665e,tgs:2246264e665e,Titans FC (CA) - Orozco G12,2025-12-07T11:00:00,11:00:00,H,11,0,W,Field 5 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35457,2012,G,tgs:2246264e665e,tgs:2246264e665e,Titans FC (CA) - Orozco G12,tgs:86fdb6567f28,tgs:86fdb6567f28,Slammers FC HB Koge ECNL G13,2025-12-07T11:00:00,11:00:00,A,0,11,L,Field 5 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
