provider,scrape_run_id,event_id,event_name,schedule_id,age_year,age_group,gender,team_id,team_id_source,team_name,club_name,opponent_id,opponent_id_source,opponent_name,opponent_club_name,state,state_code,game_date,game_time,home_away,goals_for,goals_against,result,venue,source_url,scraped_at
tgs,2025-12-12T17:48:39.608611+00:00_ff6db3,3953,Event 3953,33073,2008,u18,Girls,96832,96832,So Cal Blues SC ECNL RL SoCal G08/07,So Cal Blues SC,89525,89525,Slammers FC HB Koge ECNL RL S.Cal G08/07,Slammers FC HB Koge,,,2025-09-06,09:00:00,H,1,3,L,Field 16,https://public.totalglobalsports.com/public/event/3953,2025-12-12T17:48:39.608611+00:00
tgs,2025-12-12T17:48:39.608611+00:00_ff6db3,3953,Event 3953,33073,2008,u18,Girls,89525,89525,Slammers FC HB Koge ECNL RL S.Cal G08/07,Slammers FC HB Koge,96832,96832,So Cal Blues SC ECNL RL SoCal G08/07,So Cal Blues SC,,,2025-09-06,09:00:00,A,3,1,W,Field 16,https://public.totalglobalsports.com/public/event/3953,2025-12-12T17:48:39.608611+00:00
tgs,2025-12-12T17:48:39.608611+00:00_ff6db3,3953,Event 3953,33073,2008,u18,Girls,95273,95273,Sporting CA USA ECNL RL S.Cal G08/07,Sporting CA USA,112213,112213,Pateadores ECNL RL S.Cal G07/08,Pateadores,,,2025-09-06,09:00:00,H,0,6,L,field 20,https://public.totalglobalsports.com/public/event/3953,2025-12-12T17:48:39.608611+00:00
tgs,2025-12-12T17:48:39.608611+00:00_ff6db3,3953,Event 3953,33073,2008,u18,Girls,112213,112213,Pateadores ECNL RL S.Cal G07/08,Pateadores,95273,95273,Sporting CA USA ECNL RL S.Cal G08/07,Sporting CA USA,,,2025-09-06,09:00:00,A,6,0,W,field 20,https://public.totalglobalsports.com/public/event/3953,2025-12-12T17:48:39.608611+00:00
tgs,2025-12-12T17:48:39.608611+00:00_ff6db3,3953,Event 3953,33073,2008,u18,Girls,95405,95405,Legends FC ECNL RL S.Cal G08/07,Legends FC,80931,80931,Rebels SC ECNL RL S.Cal G08/07,Rebels SC,,,2025-09-06,09:00:00,H,5,1,W,Field 5,https://public.totalglobalsports.com/public/event/3953,2025-12-12T17:48:39.608611+00:00
tgs,2025-12-12T17:48:39.608611+00:00_ff6db3,3953,Event 3953,33073,2008,u18,Girls,80931,80931,Rebels SC ECNL RL S.Cal G08/07,Rebels SC,95405,95405,Legends FC ECNL RL S.Cal G08/07,Legends FC,,,2025-09-06,09:00:00,A,1,5,L,Field 5,https://public.totalglobalsports.com/public/event/3953,2025-12-12T17:48:39.608611+00:00
tgs,2025-12-12T17:48:39.608611+00:00_ff6db3,3953,Event 3953,33073,2008,u18,Girls,95098,95098,San Diego Surf ECNL RL S.Cal G08/07,San Diego Surf,94880,94880,Beach FC (CA) ECNL RL S.Cal G08/07,Beach FC  (CA),,,2025-09-06,13:00:00,H,0,2,L,Field 4,https://public.totalglobalsports.com/public/event/3953,2025-12-12T17:48:39.608611+00:00
tgs,2025-12-12T17:48:39.608611+00:00_ff6db3,3953,Event 3953,33073,2008,u18,Girls,94880,94880,Beach FC (CA) ECNL RL S.Cal G08/07,Beach FC  (CA),95098,95098,San Diego Surf ECNL RL S.Cal G08/07,San Diego Surf,,,2025-09-06,13:00:00,A,2,0,W,Field 4,https://public.totalglobalsports.com/public/event/3953,2025-12-12T17:48:39.608611+00:00
tgs,2025-12-12T17:48:39.608611+00:00_ff6db3,3953,Event 3953,33073,2008,u18,Girls,112213,112213,Pateadores ECNL RL S.Cal G07/08,Pateadores,94880,94880,Beach FC (CA) ECNL RL S.Cal G08/07,Beach FC  (CA),,,2025-09-13,15:00:00,H,0,5,L,Field 8,https://public.totalglobalsports.com/public/event/3953,2025-12-12T17:48:39.608611+00:00
tgs,2025-12-12T17:48:39.608611+00:00_ff6db3,3953,Event 3953,33073,2008,u18,Girls,94880,94880,Beach FC (CA) ECNL RL S.Cal G08/07,Beach FC  (CA),112213,112213,Pateadores ECNL RL S.Cal G07/08,Pateadores,,,2025-09-13,15:00:00,A,5,0,W,Field 8,https://public.totalglobalsports.com/public/event/3953,2025-12-12T17:48:39.608611+00:00
