provider,team_id,team_id_source,team_name,club_name,opponent_id,opponent_id_source,opponent_name,opponent_club_name,age_group,gender,state,competition,division_name,event_name,venue,game_date,home_away,goals_for,goals_against,result,source_url,scraped_at
modular11,1310,1310,Michigan Futbol Academy U13 AD,Michigan Futbol Academy,334,334,FC Cincinnati U13 AD,FC Cincinnati,U13,Male,,League,Mid-America,League,Milford High School - Charity Lucas Soccer Field,2025-11-08,A,2,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:21.770405
modular11,468,468,Lou Fusz Athletic U13 AD,Lou Fusz Athletic,48,48,Indy Eleven U13 AD,Indy Eleven,U13,Male,,League,Mid-America,League,Lou Fusz Athletic Soccer Complex - Field #6,2025-11-08,H,2,3,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:21.770405
modular11,48,48,Indy Eleven U13 AD,Indy Eleven,468,468,Lou Fusz Athletic U13 AD,Lou Fusz Athletic,U13,Male,,League,Mid-America,League,Lou Fusz Athletic Soccer Complex - Field #6,2025-11-08,A,3,2,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:21.770405
modular11,1421,1421,San Diego FC U13 AD,San Diego FC,101,101,ALBION SC San Diego U13 AD,ALBION SC San Diego,U13,Male,,League,Southwest,League,Sharp Healthcare Performance Center - Field 1,2025-11-08,H,2,2,D,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:21.770405
modular11,101,101,ALBION SC San Diego U13 AD,ALBION SC San Diego,1421,1421,San Diego FC U13 AD,San Diego FC,U13,Male,,League,Southwest,League,Sharp Healthcare Performance Center - Field 1,2025-11-08,A,2,2,D,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:21.770405
modular11,1406,1406,Huntsville City FC U13 AD,Huntsville City FC,455,455,AFC Lightning U13 AD,AFC Lightning,U13,Male,,League,Southeast,League,Wick Family Field - Stadium,2025-11-08,H,0,5,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:21.770405
modular11,455,455,AFC Lightning U13 AD,AFC Lightning,1406,1406,Huntsville City FC U13 AD,Huntsville City FC,U13,Male,,League,Southeast,League,Wick Family Field - Stadium,2025-11-08,A,5,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:21.770405
modular11,335,335,Inter Miami CF U13 AD,Inter Miami CF,471,471,Orlando City Soccer School South U13 AD,Orlando City Soccer School South,U13,Male,,League,Florida,League,Florida Blue Training Center - Field 4,2025-11-08,H,6,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:21.770405
modular11,471,471,Orlando City Soccer School South U13 AD,Orlando City Soccer School South,335,335,Inter Miami CF U13 AD,Inter Miami CF,U13,Male,,League,Florida,League,Florida Blue Training Center - Field 4,2025-11-08,A,0,6,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:21.770405
modular11,14,14,LA Galaxy U13 AD,LA Galaxy,184,184,Los Angeles Football Club U13 AD,Los Angeles Football Club,U13,Male,,League,Southwest,League,Dignity Health Sports Park - Field 5,2025-11-08,H,1,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:21.770405
modular11,184,184,Los Angeles Football Club U13 AD,Los Angeles Football Club,14,14,LA Galaxy U13 AD,LA Galaxy,U13,Male,,League,Southwest,League,Dignity Health Sports Park - Field 5,2025-11-08,A,0,1,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:21.770405
modular11,54,54,Baltimore Armour U13 AD,Baltimore Armour,91,91,Bethesda SC U13 AD,Bethesda SC,U13,Male,,League,Mid-Atlantic,League,Covenant Park - Field 6,2025-11-08,H,4,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:21.770405
modular11,91,91,Bethesda SC U13 AD,Bethesda SC,54,54,Baltimore Armour U13 AD,Baltimore Armour,U13,Male,,League,Mid-Atlantic,League,Covenant Park - Field 6,2025-11-08,A,0,4,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:21.770405
modular11,466,466,KSA U13 AD,KSA,1145,1145,Carolina Core FC U13 AD,Carolina Core FC,U13,Male,,League,Southeast,League,Rock Springs Park - RSP 3,2025-11-08,H,0,2,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:21.770405
modular11,1145,1145,Carolina Core FC U13 AD,Carolina Core FC,466,466,KSA U13 AD,KSA,U13,Male,,League,Southeast,League,Rock Springs Park - RSP 3,2025-11-08,A,2,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:21.770405
modular11,63,63,Players Development Academy U13 AD,Players Development Academy,373,373,Alexandria SA U13 AD,Alexandria SA,U13,Male,,League,Mid-Atlantic,League,PDA Soccer Complex - Field 3 Turf,2025-11-08,H,0,3,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:21.770405
modular11,373,373,Alexandria SA U13 AD,Alexandria SA,63,63,Players Development Academy U13 AD,Players Development Academy,U13,Male,,League,Mid-Atlantic,League,PDA Soccer Complex - Field 3 Turf,2025-11-08,A,3,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:21.770405
modular11,32,32,Blau Weiss Gottschee U13 AD,Blau Weiss Gottschee,490,490,Ironbound Soccer Club U13 AD,Ironbound Soccer Club,U13,Male,,League,Northeast,League,Aviator - Field 1,2025-11-02,H,0,0,D,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,490,490,Ironbound Soccer Club U13 AD,Ironbound Soccer Club,32,32,Blau Weiss Gottschee U13 AD,Blau Weiss Gottschee,U13,Male,,League,Northeast,League,Aviator - Field 1,2025-11-02,A,0,0,D,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,464,464,Intercontinental Football Academy of New England U13 AD,Intercontinental Football Academy of New England,72,72,Seacoast United U13 AD,Seacoast United,U13,Male,,League,Northeast,League,Union Point Sports Complex - Field 2,2025-11-08,H,1,3,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,72,72,Seacoast United U13 AD,Seacoast United,464,464,Intercontinental Football Academy of New England U13 AD,Intercontinental Football Academy of New England,U13,Male,,League,Northeast,League,Union Point Sports Complex - Field 2,2025-11-08,A,3,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,856,856,Athletum FC Academy U13 AD,Athletum FC Academy,35,35,Miami Futbol Academy Rush U13 AD,Miami Futbol Academy Rush,U13,Male,,League,Florida,League,JCC Posnack - Stadium Field,2025-11-08,H,2,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,35,35,Miami Futbol Academy Rush U13 AD,Miami Futbol Academy Rush,856,856,Athletum FC Academy U13 AD,Athletum FC Academy,U13,Male,,League,Florida,League,JCC Posnack - Stadium Field,2025-11-08,A,1,2,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,67,67,FC Greater Boston Bolts U13 AD,FC Greater Boston Bolts,196,196,New York City FC U13 AD,New York City FC,U13,Male,,League,Northeast,League,UMass Mount Ida - Stadium,2025-11-08,H,2,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,196,196,New York City FC U13 AD,New York City FC,67,67,FC Greater Boston Bolts U13 AD,FC Greater Boston Bolts,U13,Male,,League,Northeast,League,UMass Mount Ida - Stadium,2025-11-08,A,1,2,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,387,387,Tampa Bay United U13 AD,Tampa Bay United,37,37,IMG U13 AD,IMG,U13,Male,,League,Florida,League,Ed Radice Sports Complex - Field #5,2025-11-08,H,5,2,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,37,37,IMG U13 AD,IMG,387,387,Tampa Bay United U13 AD,Tampa Bay United,U13,Male,,League,Florida,League,Ed Radice Sports Complex - Field #5,2025-11-08,A,2,5,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,188,188,Metropolitan Oval U13 AD,Metropolitan Oval,90,90,New York SC U13 AD,New York SC,U13,Male,,League,Northeast,League,Met Oval - Field 1,2025-11-08,H,2,3,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,90,90,New York SC U13 AD,New York SC,188,188,Metropolitan Oval U13 AD,Metropolitan Oval,U13,Male,,League,Northeast,League,Met Oval - Field 1,2025-11-08,A,3,2,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,401,401,Real Futbol Academy U13 AD,Real Futbol Academy,862,862,Sporting Athletic Club U13 AD,Sporting Athletic Club,U13,Male,,League,Mid-Atlantic,League,Bob Bende Soccer Complex - Payer Matrix Turf (Near Woods),2025-11-08,H,1,1,D,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,862,862,Sporting Athletic Club U13 AD,Sporting Athletic Club,401,401,Real Futbol Academy U13 AD,Real Futbol Academy,U13,Male,,League,Mid-Atlantic,League,Bob Bende Soccer Complex - Payer Matrix Turf (Near Woods),2025-11-08,A,1,1,D,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,70,70,Rochester NY FC U13 AD,Rochester NY FC,25,25,Oakwood Soccer Club U13 AD,Oakwood Soccer Club,U13,Male,,League,Northeast,League,McAvoy Park,2025-11-08,H,2,2,D,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,25,25,Oakwood Soccer Club U13 AD,Oakwood Soccer Club,70,70,Rochester NY FC U13 AD,Rochester NY FC,U13,Male,,League,Northeast,League,McAvoy Park,2025-11-08,A,2,2,D,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,name:southern-soccer-academy,name:southern-soccer-academy,Southern Soccer Academy U13 AD,Southern Soccer Academy,477,477,Wake FC U13 AD,Wake FC,U13,Male,,League,Southeast,League,Franklin Gateway sports complex - Field 2,2025-11-08,H,2,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,477,477,Wake FC U13 AD,Wake FC,name:southern-soccer-academy,name:southern-soccer-academy,Southern Soccer Academy U13 AD,Southern Soccer Academy,U13,Male,,League,Southeast,League,Franklin Gateway sports complex - Field 2,2025-11-08,A,1,2,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,83,83,Chicago FC United U13 AD,Chicago FC United,473,473,SC Wave U13 AD,SC Wave,U13,Male,,League,Mid-America,League,Vernon Hills Athletic Complex - Field #12 (Turf),2025-11-08,H,3,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,473,473,SC Wave U13 AD,SC Wave,83,83,Chicago FC United U13 AD,Chicago FC United,U13,Male,,League,Mid-America,League,Vernon Hills Athletic Complex - Field #12 (Turf),2025-11-08,A,1,3,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,478,478,Woodside Soccer Club Crush U13 AD,Woodside Soccer Club Crush,411,411,Lamorinda Soccer Club U13 AD,Lamorinda Soccer Club,U13,Male,,League,Northwest,League,Sequoia High School - Terremere Field,2025-11-08,H,4,2,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,411,411,Lamorinda Soccer Club U13 AD,Lamorinda Soccer Club,478,478,Woodside Soccer Club Crush U13 AD,Woodside Soccer Club Crush,U13,Male,,League,Northwest,League,Sequoia High School - Terremere Field,2025-11-08,A,2,4,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,859,859,Modesto Ajax United U13 AD,Modesto Ajax United,45,45,Sacramento Republic FC U13 AD,Sacramento Republic FC,U13,Male,,League,Northwest,League,Mary Grogan Community Park - Field 3,2025-11-08,H,1,2,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,45,45,Sacramento Republic FC U13 AD,Sacramento Republic FC,859,859,Modesto Ajax United U13 AD,Modesto Ajax United,U13,Male,,League,Northwest,League,Mary Grogan Community Park - Field 3,2025-11-08,A,2,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,566,566,SoCal Reds FC U13 AD,SoCal Reds FC,474,474,Strikers FC U13 AD,Strikers FC,U13,Male,,League,Southwest,League,Orange County Great Park  - OC Great Park Soccer Field #12,2025-11-08,H,0,12,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,474,474,Strikers FC U13 AD,Strikers FC,566,566,SoCal Reds FC U13 AD,SoCal Reds FC,U13,Male,,League,Southwest,League,Orange County Great Park  - OC Great Park Soccer Field #12,2025-11-08,A,12,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,1143,1143,Downtown United Soccer Club U13 AD,Downtown United Soccer Club,365,365,TSF Academy U13 AD,TSF Academy,U13,Male,,League,Northeast,League,Pier 40 CourtYard - East Field,2025-11-08,H,3,2,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,365,365,TSF Academy U13 AD,TSF Academy,1143,1143,Downtown United Soccer Club U13 AD,Downtown United Soccer Club,U13,Male,,League,Northeast,League,Pier 40 CourtYard - East Field,2025-11-08,A,2,3,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,38,38,FC Westchester U13 AD,FC Westchester,1146,1146,Long Island Soccer Club U13 AD,Long Island Soccer Club,U13,Male,,League,Northeast,League,SUNY Purchase - Stadium Turf,2025-11-08,H,2,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
