provider,team_id,team_id_source,team_name,club_name,opponent_id,opponent_id_source,opponent_name,opponent_club_name,age_group,gender,state,competition,division_name,event_name,venue,game_date,home_away,goals_for,goals_against,result,source_url,scraped_at
modular11,471,471,Orlando City Soccer School South U13 AD,Orlando City Soccer School South,335,335,Inter Miami CF U13 AD,Inter Miami CF,U13,Male,,League,Florida,League,Florida Blue Training Center - Field 4,2025-11-08,A,0,6,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,14,14,LA Galaxy U13 AD,LA Galaxy,184,184,Los Angeles Football Club U13 AD,Los Angeles Football Club,U13,Male,,League,Southwest,League,Dignity Health Sports Park - Field 5,2025-11-08,H,1,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,184,184,Los Angeles Football Club U13 AD,Los Angeles Football Club,14,14,LA Galaxy U13 AD,LA Galaxy,U13,Male,,League,Southwest,League,Dignity Health Sports Park - Field 5,2025-11-08,A,0,1,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,54,54,Baltimore Armour U13 AD,Baltimore Armour,91,91,Bethesda SC U13 AD,Bethesda SC,U13,Male,,League,Mid-Atlantic,League,Covenant Park - Field 6,2025-11-08,H,4,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,91,91,Bethesda SC U13 AD,Bethesda SC,54,54,Baltimore Armour U13 AD,Baltimore Armour,U13,Male,,League,Mid-Atlantic,League,Covenant Park - Field 6,2025-11-08,A,0,4,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,466,466,KSA U13 AD,KSA,1145,1145,Carolina Core FC U13 AD,Carolina Core FC,U13,Male,,League,Southeast,League,Rock Springs Park - RSP 3,2025-11-08,H,0,2,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,1145,1145,Carolina Core FC U13 AD,Carolina Core FC,466,466,KSA U13 AD,KSA,U13,Male,,League,Southeast,League,Rock Springs Park - RSP 3,2025-11-08,A,2,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,63,63,Players Development Academy U13 AD,Players Development Academy,373,373,Alexandria SA U13 AD,Alexandria SA,U13,Male,,League,Mid-Atlantic,League,PDA Soccer Complex - Field 3 Turf,2025-11-08,H,0,3,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,373,373,Alexandria SA U13 AD,Alexandria SA,63,63,Players Development Academy U13 AD,Players Development Academy,U13,Male,,League,Mid-Atlantic,League,PDA Soccer Complex - Field 3 Turf,2025-11-08,A,3,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.371521
modular11,104,104,Silicon Valley Soccer Academy U13 AD,Silicon Valley Soccer Academy,410,410,Napa United U13 AD,Napa United,U13,Male,,League,Northwest,League,Paly High School - Soccer Field,2025-11-08,H,7,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.915641
modular11,410,410,Napa United U13 AD,Napa United,104,104,Silicon Valley Soccer Academy U13 AD,Silicon Valley Soccer Academy,U13,Male,,League,Northwest,League,Paly High School - Soccer Field,2025-11-08,A,0,7,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.915641
modular11,372,372,Springfield SYC U13 AD,Springfield SYC,863,863,West Virginia Soccer U13 AD,West Virginia Soccer,U13,Male,,League,Mid-Atlantic,League,West Springfield High School - Stadium,2025-11-08,H,9,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.915641
modular11,863,863,West Virginia Soccer U13 AD,West Virginia Soccer,372,372,Springfield SYC U13 AD,Springfield SYC,U13,Male,,League,Mid-Atlantic,League,West Springfield High School - Stadium,2025-11-08,A,0,9,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.915641
modular11,103,103,ALBION SC Los Angeles U13 AD,ALBION SC Los Angeles,395,395,Los Angeles Surf U13 AD,Los Angeles Surf,U13,Male,,League,Southwest,League,Long Beach City College - FIELD 2,2025-11-08,H,1,2,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T00:03:22.915641
