Provider Team ID,Master Team ID,Team Name,Club Name,Age Group,Gender,State Code,Match Method,Confidence,Division
249,afcc9762-d998-4528-b4bb-4f2ebe27d492,Total Futbol Academy U13 MLS NEXT HD,Total Futbol Academy,u13,Male,CA,manual,100.0%,N/A
467,22b8de81-8915-46ea-9ad6-48867b4cb670,Las Vegas Sports Academy U13 MLS Next 2013,Las Vegas Sports Academy,u13,Male,NV,manual,100.0%,N/A
1351,4440b955-d796-4936-9725-8497a7e224f3,LA Youth MLS II B13,Juventus Academy LA,u13,Male,CA,manual,100.0%,N/A
478,e612e0b2-5c14-4ddd-a2b2-32d8dabe0cca,Woodside Soccer Club Crush U13 MLS NEXT HD,Woodside Soccer Club Crush,u13,Male,CA,manual,100.0%,N/A
582,6a08ca5b-dee3-451d-a902-8bed9b47afb4,Socal Pride Futbol Club B2013 Coach Joey,Socal Pride Futbol Club,u13,Male,CA,manual,100.0%,N/A
1346,39b41d3d-c6cb-4b6a-8557-ab9c0ad5a4ba,Utah Celtic Storm U13 MLS NEXT AD,Celtic Storm,u13,Male,UT,manual,100.0%,N/A
581,4d8e81a2-b6c0-4fec-bbc5-65fd3335ced6,LA Bulls U13 MLS NEXT HD,LA Bulls,u13,Male,CA,manual,100.0%,N/A
409,d8c5f91c-aa44-42a4-a80f-fb684d692af9,Academy 13B MLS Next I,San Francisco Glens Soccer Club,u12,Male,CA,manual,100.0%,N/A
913,0e3b237c-e4a8-456b-b022-7a0b50876fef,Wasatch SC U13 MLS NEXT AD,Wasatch SC,u13,Male,UT,manual,100.0%,N/A
394,a717f5a1-9fc3-4b0d-b78b-cae382a43b87,Santa Barbara Soccer Club B2013 Pre-Academy,Santa Barbara Soccer Club,u13,Male,CA,manual,100.0%,N/A
890,008f84ef-89d2-4990-b3b2-823f0d20fb66,Laguna United FC U13 MLS NEXT AD,Laguna United FC,u13,Male,CA,manual,100.0%,N/A
391,ca5a69fe-de0c-4e93-85ce-bd6c261bb2db,RSL Arizona U13 MLS NEXT HD,RSL Arizona,u13,Male,AZ,manual,100.0%,N/A
397,b8832a0b-0ca0-47a3-bb6f-4cab015267e1,Ventura County Fusion U13 MLS NEXT HD,Ventura County Fusion,u13,Male,CA,manual,100.0%,N/A
566,2eb7ec78-e286-4e9c-92cf-8eb0c9c42ab9,B13 SoCal Reds FC MLS Next-MD,SoCal Reds FC,u13,Male,CA,manual,100.0%,N/A
859,c728d41b-c364-46c7-97d4-7f77ec23bdb0,Ajax United 13B Academy MLS Next,Ajax United,u13,Male,CA,manual,100.0%,N/A
14,91c2f6aa-96ab-4b74-9c5a-f8edd8661df2,LA Galaxy U13 MLS NEXT HD,LA Galaxy,u13,Male,CA,manual,100.0%,N/A
1273,5cf14a8a-f3d1-4e5e-8f0a-6fe6e5df653e,So Cal Pride-White Estrada,Socal Pride Futbol Club,u13,Male,CA,manual,100.0%,N/A
1421,6a3127f2-d2c2-40a2-8a95-d4984b1d2822,San Diego FC U13 MLS NEXT HD,San Diego FC,u13,Male,CA,manual,100.0%,N/A
184,d966b6b5-8e87-4f46-a1cd-96319c335eb9,Los Angeles Football Club U13 MLS NEXT HD,Los Angeles Football Club,u13,Male,CA,manual,100.0%,N/A
