modular11_club,modular11_club_normalized,modular11_team_id,modular11_ages,modular11_divisions,modular11_games,match_1_db_team_id,match_1_db_team_name,match_1_db_club,match_1_db_age,match_1_score,match_2_db_team_id,match_2_db_team_name,match_2_db_club,match_2_db_age,match_2_score,match_3_db_team_id,match_3_db_team_name,match_3_db_club,match_3_db_age,match_3_score,selected_db_team_id
ALBION SC Los Angeles,albion sc los angeles,103,"U13, U14, U15, U16, U17","AD, HD",198,55f99751-e38b-4f10-9cd3-5e7ceae8d06a,ALBION SC Los Angeles B09 EA,ALBION SC Los Angeles,u17,100,883c87e4-a70b-4573-bf2e-cf2cae9aa53b,Albion SC Los Angeles,ALBION SC Los Angeles,u12,100,61735c41-a220-476c-a08f-4a328db38391,ALBION SC Los Angeles B10 EA,ALBION SC Los Angeles,u16,100,
Miami Futbol Academy Rush,miami futbol academy rush,35,"U13, U14, U15, U16, U17","AD, HD",197,5295f585-8340-4334-abfd-1a43b930a0e8,2008 (U17) Reserve Elite,Miami Futbol Academy Rush,u18,100,2d6d4bf1-a444-4944-ba50-a24d7baf9d6b,2007 (U18) Reserve NAL,Miami Futbol Academy Rush,u18,100,ff0bf65b-032f-4e5f-a9e3-02557aab3f96,2009 (U17) EDP,Miami Futbol Academy Rush,u17,100,
City SC Southwest,city sc southwest,1409,"U13, U14, U15, U16, U17","AD, HD",197,9b10fdae-df1e-484c-a799-08d0e277d022,Castaneda,City SC Southwest,u13,100,55946b25-9678-4ad2-a69c-3b9d5d773099,Castaneda,City SC Southwest,u16,100,bc65988d-82f2-417d-a208-323fb7a2200a,CITY SC MV B08 Premier,City SC Southwest,u18,100,
Hoover-Vestavia Soccer,hoover-vestavia,462,"U13, U14, U15, U16, U17","AD, HD",197,d19952d2-8b6c-4eb7-858a-19c88026caf4,11 N2 NAL,Hoover-Vestavia Soccer,u15,100,567d556e-e7d5-488c-81b7-3a6c21fff46f,08 N2 NAL,Hoover-Vestavia Soccer,u18,100,dd4100f0-29e3-4167-a5c4-01a976e9a134,12 N2 NAL,Hoover-Vestavia Soccer,u14,100,
Springfield SYC,springfield syc,372,"U13, U14, U15, U16, U17","AD, HD",197,dc7a2fad-348d-486d-baaf-b42c839c10d0,SYC 2009B Blue,Springfield SYC Soccer,u17,100,241e1b19-98bd-4199-8d68-4dc509eb6025,SYC 2015B Black,Springfield SYC Soccer,u11,100,45f0a1df-1ccb-4f4c-8e50-bd393506d713,SYC 2016B Orange,Springfield SYC Soccer,u10,100,
KSA,ksa,466,"U13, U14, U15, U16, U17","AD, HD",194,622596a0-eed1-4177-8334-da1605cd3c1a,KSA PREMIER U14,KSA,u15,100,a820bb5c-18a8-4156-af05-206c3131439e,KSA PREMIER U16,KSA,u17,100,1410fcbf-5d4d-4a5b-a938-9f0829061d3c,KSA PREMIER U13,KSA,u14,100,
Chargers Soccer Club,chargers,36,"U13, U14, U15, U16, U17","AD, HD",193,cf2c80af-0c95-44e9-a2c9-056f2f9dbe71,Chargers CLW PreMLS B2014 (U12),Chargers Soccer Club,u12,100,5568204c-5cf5-4386-956d-f5d8145b1ea2,Chargers CLW PreMLS B2015 (U11),Chargers Soccer Club,u11,100,ecb9aa2a-fbc5-480a-bba4-8856696e80a3,Chargers CLW PreMLS B2016 (U10),Chargers Soccer Club,u10,100,
Southern Soccer Academy,southern,name:southern-soccer-academy,"U13, U14, U15, U16, U17","AD, HD",192,28e7a694-7931-467c-93c5-d26b270e5176,SSA Swarm Coastal 15/16 B Silver,Southern Soccer Academy,u11,100,c49403e2-bc8f-4124-959d-39986bb498ed,SSA Swarm Marietta 14B Pre MLS-Next III,Southern Soccer Academy,u12,100,54f76976-3d7f-4815-8e50-261e6148c091,F25 SSA Cartersville U14B-Jr Wolverines,Southern Soccer Academy,u14,100,
Lanier Soccer Association,lanier soccer association,382,"U13, U14, U15, U16, U17","AD, HD",191,dd763011-dde5-4d51-a7c8-d80c0a838975,B2012/2013 White,Darien Soccer Association,u14,88.0,aae5b0f2-03f0-4bb0-9a72-be9ecc5bcf6b,B2011/2012 Blue,Darien Soccer Association,u15,88.0,210030c4-9e03-4dbc-bc3b-b03ad3bf7254,B2013 Blue,Darien Soccer Association,u13,88.0,
Atletico Santa Rosa,atletico santa rosa,457,"U13, U14, U15, U16, U17","AD, HD",191,eb5e483d-912a-45a0-a54f-cc841bb7af1e,13B MLS Next,Atletico Santa Rosa,u13,100,53f508d2-30b2-499e-9aee-dc7fdc5eeb58,ASR MLSNEXT 09B,Atletico Santa Rosa,u17,100,ac507892-a149-4541-9990-364d26513dac,ASR MLSNEXT 08B,Atletico Santa Rosa,u18,100,
