modular11_id,modular11_club,modular11_team_names,modular11_games,confidence,db_team_id,db_team_name,db_age_group,approve
494,Charlotte Independence Soccer Club,Charlotte Independence Soccer Club U13 AD | Charlotte Independence Soccer Club U14 AD | Charlotte Independence Soccer Club U15 AD | Charlotte Independence Soccer Club U16 AD | Charlotte Independence Soccer Club U17 AD | Charlotte Independence U13 HD | Charlotte Independence U14 HD | Charlotte Independence U15 HD | Charlotte Independence U16 HD | Charlotte Independence U17 HD,106,86.3,f6c02c07-0d17-490b-a020-59b713794bec,Charlotte Independence RL G08,u18,
466,KSA,KSA U13 AD | KSA U13 HD | KSA U14 AD | KSA U14 HD | KSA U15 AD | KSA U15 HD | KSA U16 AD | KSA U16 HD | KSA U17 AD | KSA U17 HD,194,85.7,738029ee-f636-4353-a788-24cdf91115bb,KOSA 2015 Summer Select Gold,u11,
466,KSA,KSA U13 AD | KSA U13 HD | KSA U14 AD | KSA U14 HD | KSA U15 AD | KSA U15 HD | KSA U16 AD | KSA U16 HD | KSA U17 AD | KSA U17 HD,194,85.7,ac0d8800-8d68-43c3-b315-4202f2cba3f6,KOSA 2010 Boys Black,u16,
466,KSA,KSA U13 AD | KSA U13 HD | KSA U14 AD | KSA U14 HD | KSA U15 AD | KSA U15 HD | KSA U16 AD | KSA U16 HD | KSA U17 AD | KSA U17 HD,194,85.7,3df3061b-07b3-47e4-87d4-585477ce9619,KOSA 2011 Boys CBDF,u15,
13,New York Red Bulls,New York Red Bulls U13 HD | New York Red Bulls U14 HD | New York Red Bulls U15 HD | New York Red Bulls U16 HD | New York Red Bulls U17 HD,117,85.7,0e4ac8ee-dd6b-4df8-8192-8fb691de171c,New York Red Bulls - U11,u11,
13,New York Red Bulls,New York Red Bulls U13 HD | New York Red Bulls U14 HD | New York Red Bulls U15 HD | New York Red Bulls U16 HD | New York Red Bulls U17 HD,117,85.7,d5bf4c90-b6ac-41c6-bf72-f09e6cb7b7a6,New York Red Bulls - Red,u13,
1304,One FC,One FC U13 AD | One FC U14 AD | One FC U15 AD | One FC U16 AD | One FC U17 AD,54,85.7,11207d69-bd77-49bf-b7eb-354e58c53dd7,One7 2011,u15,
1142,Connecticut United FC,Connecticut United FC U14 HD | Connecticut United FC U15 HD | Connecticut United FC U16 HD,52,85.7,88161259-768b-44c0-bc08-260dbbe57b16,Inter Connecticut 2008 SL Boys,u18,
1142,Connecticut United FC,Connecticut United FC U14 HD | Connecticut United FC U15 HD | Connecticut United FC U16 HD,52,85.7,043ce800-9f06-4bb3-bd84-a0fd9577214a,Inter Connecticut 2008 RL Boys,u18,
1142,Connecticut United FC,Connecticut United FC U14 HD | Connecticut United FC U15 HD | Connecticut United FC U16 HD,52,85.7,aaced5c8-f76f-4c6a-bcae-97b80d7dc87e,Inter Connecticut 2009 RL Boys,u17,
1265,Seacoast United Mass,Seacoast United Mass U13 AD | Seacoast United Mass U14 AD,18,85.7,6e383b4f-f039-44f9-b1e1-254727a68f8a,Seacoast United 2010 Girls NAL,u16,
1265,Seacoast United Mass,Seacoast United Mass U13 AD | Seacoast United Mass U14 AD,18,85.7,1d2e0fa1-fe5c-4c71-9e05-ff35d7cf4065,Seacoast United 2009 Boys NAL,u17,
1265,Seacoast United Mass,Seacoast United Mass U13 AD | Seacoast United Mass U14 AD,18,85.7,eacb5ed3-8e68-4a7c-80c9-bc9ea131c48d,Seacoast United 2013 Boys NAL,u13,
472,Queen City Mutiny FC,Queen City Mutiny FC U13 AD | Queen City Mutiny FC U13 HD | Queen City Mutiny FC U14 AD | Queen City Mutiny FC U14 HD | Queen City Mutiny FC U15 AD | Queen City Mutiny FC U15 HD | Queen City Mutiny FC U16 AD | Queen City Mutiny FC U16 HD | Queen City Mutiny FC U17 AD | Queen City Mutiny FC U17 HD,188,85.0,8354cf28-54e9-4925-9533-ef0a14f7a046,CCLNC Queen City Mutiny 2012,u14,
1270,Lou Fusz Athletic 2,Lou Fusz Athletic 2 U13 AD | Lou Fusz Athletic 2 U14 AD,18,85.0,22456813-240b-4863-9304-36c2734b01c4,Lou Fusz Athletic RSC 2009 B,u17,
