provider,team_id,team_id_source,team_name,club_name,opponent_id,opponent_id_source,opponent_name,opponent_club_name,age_group,gender,state,competition,division_name,event_name,venue,mls_division,game_date,home_away,goals_for,goals_against,result,source_url,scraped_at
modular11,964,964,ALBION SC Colorado U14 AD,ALBION SC Colorado,1299,1299,Lowcountry United U14 AD,Lowcountry United,U14,Male,,AD Group Play,C,MLS NEXT Fest,19 - Reata Sports Complex,AD,12/11/2025,H,1,2,L,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:13.410282
modular11,964,964,ALBION SC Colorado U14 AD,ALBION SC Colorado,1309,1309,Michigan Bucks Academy U14 AD,Michigan Bucks Academy,U14,Male,,AD Group Play,C,MLS NEXT Fest,15 - Bell 94 Sports Complex,AD,12/12/2025,H,1,4,L,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:14.718372
modular11,964,964,ALBION SC Colorado U14 AD,ALBION SC Colorado,158,158,Elk Grove Soccer U14 AD,Elk Grove Soccer,U14,Male,,AD Group Play,C,MLS NEXT Fest,13 - Bell 94 Sports Complex,AD,12/13/2025,A,0,4,L,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:15.397098
modular11,964,964,ALBION SC Colorado U14 AD,ALBION SC Colorado,1146,1146,Long Island Soccer Club U14 AD,Long Island Soccer Club,U14,Male,,AD Group Play,Playoffs,MLS NEXT Fest,21 - Reata Sports Complex,AD,12/14/2025,H,0,3,L,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:17.627729
modular11,964,964,ALBION SC Colorado U14 HD,ALBION SC Colorado,43,43,Vardar Soccer Club U14 HD,Vardar Soccer Club,U14,Male,,HD Group Play,J,MLS NEXT Fest,18 - Reata Sports Complex,HD,12/11/2025,H,1,4,L,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:12.116640
modular11,964,964,ALBION SC Colorado U14 HD,ALBION SC Colorado,389,389,SC Del Sol U14 HD,SC Del Sol,U14,Male,,HD Group Play,J,MLS NEXT Fest,15 - Bell 94 Sports Complex,HD,12/12/2025,A,1,2,L,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:13.410282
modular11,964,964,ALBION SC Colorado U14 HD,ALBION SC Colorado,494,494,Charlotte Independence U14 HD,Charlotte Independence,U14,Male,,HD Group Play,J,MLS NEXT Fest,17 - Reata Sports Complex,HD,12/13/2025,H,1,0,W,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:16.466853
modular11,964,964,ALBION SC Colorado U14 HD,ALBION SC Colorado,409,409,San Francisco Glens SC U14 HD,San Francisco Glens SC,U14,Male,,HD Group Play,Playoffs,MLS NEXT Fest,15 - Bell 94 Sports Complex,HD,12/14/2025,A,2,0,W,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:18.657020
modular11,1077,1077,ALBION SC Denver U14 AD,ALBION SC Denver,366,366,Southern Soccer Academy U14 AD,Southern Soccer Academy,U14,Male,,AD Group Play,M,MLS NEXT Fest,19 - Reata Sports Complex,AD,12/11/2025,H,0,1,L,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:10.827242
modular11,1077,1077,ALBION SC Denver U14 AD,ALBION SC Denver,366,366,Southern Soccer Academy U14 AD,Southern Soccer Academy,U14,Male,,AD Group Play,M,MLS NEXT Fest,19 - Reata Sports Complex,AD,12/11/2025,H,0,1,L,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:11.310016
modular11,1077,1077,ALBION SC Denver U14 AD,ALBION SC Denver,103,103,ALBION SC Los Angeles U14 AD,ALBION SC Los Angeles,U14,Male,,AD Group Play,M,MLS NEXT Fest,21 - Reata Sports Complex,AD,12/12/2025,H,0,2,L,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:13.831949
modular11,1077,1077,ALBION SC Denver U14 AD,ALBION SC Denver,1308,1308,Kings Hammer Cincinnati U14 AD,Kings Hammer Cincinnati,U14,Male,,AD Group Play,M,MLS NEXT Fest,19 - Reata Sports Complex,AD,12/13/2025,A,1,4,L,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:16.466853
modular11,1077,1077,ALBION SC Denver U14 AD,ALBION SC Denver,1352,1352,Sporting San Diego U14 AD,Sporting San Diego,U14,Male,,AD Group Play,Playoffs,MLS NEXT Fest,14 - Bell 94 Sports Complex,AD,12/14/2025,H,2,1,W,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:18.166963
modular11,879,879,Colorado United SC U14 AD,Colorado United SC,383,383,Inter Atlanta FC U14 AD,Inter Atlanta FC,U14,Male,,AD Group Play,B,MLS NEXT Fest,14 - Bell 94 Sports Complex,AD,12/11/2025,H,0,1,L,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:10.827242
modular11,879,879,Colorado United SC U14 AD,Colorado United SC,383,383,Inter Atlanta FC U14 AD,Inter Atlanta FC,U14,Male,,AD Group Play,B,MLS NEXT Fest,14 - Bell 94 Sports Complex,AD,12/11/2025,H,0,1,L,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:11.310016
modular11,879,879,Colorado United SC U14 AD,Colorado United SC,856,856,Athletum FC Academy U14 AD,Athletum FC Academy,U14,Male,,AD Group Play,B,MLS NEXT Fest,13 - Bell 94 Sports Complex,AD,12/12/2025,A,0,2,L,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:15.397098
modular11,879,879,Colorado United SC U14 AD,Colorado United SC,913,913,Wasatch SC U14 AD,Wasatch SC,U14,Male,,AD Group Play,B,MLS NEXT Fest,16 - Bell 94 Sports Complex,AD,12/13/2025,A,0,1,L,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:16.886857
modular11,879,879,Colorado United SC U14 AD,Colorado United SC,241,241,Sporting Blue Valley U14 AD,Sporting Blue Valley,U14,Male,,AD Group Play,Playoffs,MLS NEXT Fest,13 - Bell 94 Sports Complex,AD,12/14/2025,A,0,0,D,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:19.200959
modular11,1287,1287,Coppermine SC U14 AD,Coppermine SC,393,393,Chula Vista FC U14 AD,Chula Vista FC,U14,Male,,AD Group Play,Y,MLS NEXT Fest,18 - Reata Sports Complex,AD,12/11/2025,A,1,2,L,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:12.116640
modular11,1287,1287,Coppermine SC U14 AD,Coppermine SC,391,391,RSL Arizona U14 AD,RSL Arizona,U14,Male,,AD Group Play,Y,MLS NEXT Fest,21 - Reata Sports Complex,AD,12/12/2025,A,2,3,L,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:14.718372
modular11,1287,1287,Coppermine SC U14 AD,Coppermine SC,1343,1343,Classic FC U14 AD,Classic FC,U14,Male,,AD Group Play,Y,MLS NEXT Fest,20 - Reata Sports Complex,AD,12/13/2025,H,7,0,W,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:16.886857
modular11,1287,1287,Coppermine SC U14 AD,Coppermine SC,581,581,Los Angeles Bulls Soccer Club U14 AD,Los Angeles Bulls Soccer Club,U14,Male,,AD Group Play,Playoffs,MLS NEXT Fest,20 - Reata Sports Complex,AD,12/14/2025,H,2,0,W,https://www.modular11.com/events/event/view/playoffs/75,2026-01-08T15:50:18.657020
