bucket,games,predicted_avg_prob,actual_win_rate
50-55%,153483,0.5244481216172115,0.4708208726699374
55-60%,156006,0.5748752626275426,0.5787854313295643
60-65%,127131,0.623982218521739,0.7226404260172578
65-70%,4156,0.6560177963814537,0.8688642925890279
70-75%,2009,0.7303387497094938,0.5968143354902937
75-80%,3442,0.7741522688166058,0.6958163858221964
80-90%,3770,0.8378128622575908,0.7848806366047746
90-100%,3,0.9022310771759631,1.0
