team_id_master,team_name,club_name,alias,division,age_group,gender,state_code,state,birth_year,is_deprecated,modular11_alias
366377ae-1d99-463d-9912-2bd083808480,Jaramillo,90+,118033,,u14,Male,WA,Washington,,FALSE,
7936596c-fa0d-4534-9eb8-843a03217416,B2012 Ildelfonso,90+,118643,,u14,Male,WA,Washington,,FALSE,
3908b94f-2fb8-4e34-9fd6-9887f24a7b50,90+ B2012 Jaramillo,90+ Project SC,296424,,u14,Male,WA,Washington,,FALSE,
87b549e6-0aa7-4d77-ae1a-3ff9630b619b,90+ B2012 Ildelfonso,90+ Project SC,148340,,u14,Male,WA,Washington,,FALSE,
71074aec-79a4-4253-9d22-e8ffd3bfd88c,Atletico B12 EA Azul,Atletico (WA),611769,,u14,Male,WA,Washington,,FALSE,
71990127-9697-42c4-8937-45ab4531410c,Bainbridge Island FC B12 Blue,Bainbridge Island FC,250138,,u14,Male,WA,Washington,,FALSE,
4e12e86a-d5c3-400c-a574-66738915039e,Basin Sounders B2012 Sieverkropp,Basin Sounders,343514,,u14,Male,WA,Washington,,FALSE,
96f79208-82a2-4f87-9f48-d58755489df3,Basin Sounders Royal City B2012/13 Celis,Basin Sounders,382795,,u14,Male,WA,Washington,,FALSE,
6c814d3c-67b4-410d-b810-b796559dbd74,XL B12 Onyx,Bellevue United FC,,,u14,Male,WA,Washington,,FALSE,
6fc967cb-1894-4a9d-b3c0-2994c76ab36c,Blackhills FC B11 Black A,Blackhills FC,620951,,u14,Male,WA,Washington,,FALSE,
be9a02f7-c566-48dd-9daa-3be5f59741d5,Blackhills FC B2012 Black,Blackhills FC,253163,,u14,Male,WA,Washington,,FALSE,
78989952-6164-49ae-84d7-07874ee61508,Blackhills FC B2012 Red,Blackhills FC,111171,,u14,Male,WA,Washington,,FALSE,
7b200a0f-5c88-4441-813f-708247f10f43,BVB SEATTLE-B12,BVBIA WA - Seattle,509758,,u14,Male,WA,Washington,,FALSE,
46254661-738c-4ffb-b8ab-08eff00c11b6,Cascade FC B12 White,Cascade FC,502887,,u14,Male,WA,Washington,,FALSE,
e825c6ac-b43b-4e65-9438-97201c23d642,Cascade B12 Green,Cascade FC,252191,,u14,Male,WA,Washington,,FALSE,
70b3dda6-2b8a-4d04-bbe7-3c12dd618a7e,Cascade Premier 2012 ,Cascade Premier Soccer Club,109428,,u14,Male,WA,Washington,,FALSE,
a20e8e55-0a86-4728-8397-72f684eb79ca,CWS B13 Navy Dills,Central Washington Sounders,370307,,u14,Male,WA,Washington,,FALSE,
7d42ad0c-332b-4f52-be9d-5682bfbdb2c9,Central Washington Sounders ECNL RL ,Central Washington Sounders,114580,,u14,Male,WA,Washington,,FALSE,
49e6ba21-6cb3-45d4-9634-69902b068900,Chuckanut Tide B2012 Purple,Chuckanut Tide FC,624173,,u14,Male,WA,Washington,,FALSE,
37cd2c8b-9a57-4eef-b92f-329c7273ea7f,Columbia Premier  ECNL RL,Columbia Premier SC,94670,,u14,Male,WA,Washington,,FALSE,
92c1a36b-d5fc-4cf9-9f4d-89736486ece6,Columbia Premier ECNL B12,Columbia Premier SC,94668,,u14,Male,WA,Washington,,FALSE,
23df82bc-e2fe-4ae2-b008-be3b3e1ab765,Columbia Premier SC 12B Black 1 RL,Columbia Premier SC,567685,,u14,Male,WA,Washington,,FALSE,
25a64aec-e342-4f1c-b984-8dc770ae3e19,CMFSC U14B SPL,Coquitlam Metro-Ford SC,607570,,u14,Male,WA,Washington,,FALSE,
31e4d32d-09b4-439d-8b93-7a69a54ddb5f,Crossfire Premier XF Academy ECNL,Crossfire Premier,194179,,u14,Male,WA,Washington,,FALSE,
14890d39-67d6-4cf1-886c-898c95c98cdc,Crossfire Premier XF ECNL RL,Crossfire Premier,248702,,u14,Male,WA,Washington,,FALSE,
1ac734a1-449d-4499-a81f-cee37a51e9dc,XF ECNL B11,Crossfire Premier,577180,,u15,Male,WA,Washington,,FALSE,
96fdd051-4434-4f6f-b88a-23c2209e490e,Crossfire Premier XF ECNL   ,Crossfire Premier,507751,,u14,Male,WA,Washington,,FALSE,
838b3383-903f-496a-9d95-0fd64d55cf70,Crossfire Select B12 B,Crossfire Select Soccer Club,,,u14,Male,WA,Washington,,FALSE,
cc6cecc5-0afd-4e77-a240-3ce05e0660f5,Crossfire Select B12 C,Crossfire Select Soccer Club,505437,,u14,Male,WA,Washington,,FALSE,
d09684c7-ab9c-4c16-87e5-34755bafa1a9,Crossfire Select B12 A (Chatta),Crossfire Select Soccer Club,366624,,u14,Male,WA,Washington,,FALSE,
bd0bb314-4a3d-405e-802c-13d57e141739,B12 A Chatta,Crossfire Select Soccer Club,,,u14,Male,WA,Washington,,FALSE,
e4ab51f5-f1f4-4aa4-8e77-d955c6094db2,Crossfire Select B12 C,Crossfire Select Soccer Club,,,u14,Male,WA,Washington,,FALSE,
c8222138-e49d-48c4-88a6-5bfb22390bce,Dragons B2012,Dragons FC,450140,,u14,Male,WA,Washington,,FALSE,
362c64b6-98a7-4b62-967b-8b2920306f07,dragonsf B2012 white,Dragons FC,577600,,u14,Male,WA,Washington,,FALSE,
b586e6f1-4def-489b-a98f-f0e603115cad,Eagleclaw FC M12,Eagleclaw Football Club,498492,,u14,Male,WA,Washington,,FALSE,
e36421e1-d675-47f6-b70e-f417925657bc,Eastside FC ECNL B12,Eastside FC,491746; 79561,,u14,Male,WA,Michigan,,FALSE,
2dd1510d-d84e-44ce-9284-968a344eb35f,B2012 Eastside FC Bellevue,Eastside FC ,465621,,u14,Male,WA,Washington,,FALSE,
fb85d12b-7fe7-4871-8ff2-20be38fd4cae,Eastside FC B12 blue A,Eastside FC ,255943,,u14,Male,WA,Washington,,FALSE,
8ffaea90-6621-4304-85af-58a3b020e7bf,Eastside FC B12 White,Eastside FC ,252167,,u14,Male,WA,Washington,,FALSE,
1032367b-2ebd-4406-aa70-6b9f617340e5,ECFC M12 White,Emerald City FC,155697,,u14,Male,WA,Washington,,FALSE,
38cc3290-3c1e-4857-a3b0-687011f16246,ECFC M12 Green,Emerald City FC,266783,,u14,Male,WA,Washington,,FALSE,
a4cf536f-1411-4e42-97a6-d99f4cb66766,Everett FC B12 Navy,Everett Youth Soccer Club,361895,,u14,Male,WA,Washington,,FALSE,
ba574350-f2ec-49ac-9473-e8b4520c2eba,Everett FC B12 White,Everett Youth Soccer Club,493574,,u14,Male,WA,Washington,,FALSE,
02c26371-a093-44e7-bb88-48842b305c20,Evergreen United B12,Evergreen United FC,372689,,u14,Male,WA,Washington,,FALSE,
75c89c4d-79d2-4009-b249-8b055c836dd6,Olympus 2012,Evergreen United FC,484115,,u14,Male,WA,Washington,,FALSE,
