team_id_master,team_name,club_name,age_group,gender,state_code,state,birth_year,is_deprecated,division,alias,modular11_alias
d101008c-b738-4637-b5d2-ffe9d7b1bf07,NNSC Reno BattleBorn 2012B NPL,Northern Nevada Soccer Club,u14,Male,NV,Nevada,2012,FALSE,,150768,
483627b4-535e-4fef-8690-c7a6048b63ff,Players 12 Boys Academy,Players SC,u14,Male,NV,Nevada,2012,FALSE,,"164759, 380954",
ab83faef-d700-40e0-bea0-70f2bb454ebe,Players 12 Boys Elite,Players SC,u14,Male,NV,Nevada,2012,FALSE,,500693,
c58054de-f948-4fd4-bbe3-2efc801e783a,Players 2012 Boys Henderson,Players SC,u14,Male,NV,Nevada,2012,FALSE,,491971,
c9c10044-8422-40ba-b8f1-5354c9c29fb6,Players SC U14 AD,Players SC,u14,Male,NV,Nevada,2012,FALSE,AD,"1349_U14_AD, 12741, 12740",1349_U14_AD
c5c2b74c-d4d7-4d99-b72c-eace1d8bbfc2,PRIME SC 12 BOYS RED,PRIME Soccer Club,u14,Male,NV,Nevada,2012,FALSE,,511470,
daf006fc-e624-43d5-8106-d1cd396d1ea7,12B Premier,Reno APEX Soccer Club,u14,Male,NV,Nevada,2012,FALSE,,116740,
8b88188d-1418-4e09-afc5-af97c51cccd2,12B Gold,Reno APEX Soccer Club,u14,Male,NV,Nevada,2012,FALSE,,89225,
a6a30550-2e47-44bb-bd98-ae661c9da4f9,ROA Soccer Academy 2012 Blue,ROA Soccer Academy,u14,Male,NV,Nevada,2012,FALSE,,352822,
c7463edc-eadb-4e74-8b64-8ea6ce51dca7,Sierra Nevada FC Strikers,Sierra Nevada FC,u14,Male,NV,Nevada,2012,FALSE,,74166,
49f06e30-c7ed-43b1-afe6-c6dc11da4236,Sierra Surf 2012B Blue NPL,Sierra Surf SC,u14,Male,NV,Nevada,2012,FALSE,,372738,
64e42f58-15da-4ad1-a59d-3c5404060e15,Sierra Surf 2012B White,Sierra Surf SC,u14,Male,NV,Nevada,2012,FALSE,,460938,
a2f5147d-df93-484b-ab59-26c3bbbecbb7,Vegas strong 2012,Vegas Strong SC,u14,Male,NV,Nevada,2012,FALSE,,245338,
b463a76d-1477-41b3-9dde-f06b43792134,Vegas United 2012 Elite,Vegas United Soccer Club,u14,Male,NV,Nevada,2012,FALSE,,529693,
d7e79e2d-4308-40f9-be97-ffdd45cd1616,Villarreal LV 2012 Yellow,Villarreal Las Vegas Academy,u14,Male,NV,Nevada,2012,FALSE,,203156,
