team_id_master,team_name,club_name,alias,age_group,gender,state_code,state,birth_year,is_deprecated,division,modular11_alias
88dd4164-a30f-49ce-9f5c-9ba6b9121141,JC United U14 Boys Black,Jefferson County SC,577343,u14,Male,WI,Wisconsin,,FALSE,,
e7c6a825-0e94-49e9-997d-59cf1aca1171,Jefferson County United Soccer Club - JC United U14 Boys Red,Jefferson County SC,577362,u14,Male,WI,Wisconsin,,FALSE,,
f8779079-dee0-4803-8031-62240c650997,LUFC U13B Navy 2012,Lakeshore United FC,512334,u14,Male,WI,Wisconsin,,FALSE,,
fa9ee9e8-4920-49eb-ba50-98544bdf9d6f,LUFC U14B Navy 2012,Lakeshore United FC,662290,u14,Male,WI,Wisconsin,,FALSE,,
7f8a1128-6a6d-4c83-8427-4f5de32b2396,Lodi Soccer Club - 14U-B Select,Lodi Soccer Club,577354,u14,Male,WI,Wisconsin,,FALSE,,
c4488ceb-3923-47d5-80e9-4465f3b7bd51,Madison 56ers 12B Red NL(WI),Madison 56ers,391693,u14,Male,WI,Wisconsin,,FALSE,,
b05f6ec3-7791-4fa5-84f3-a1e6e589e763,Madison 56ers 2012 Boys Blue,Madison 56ers,597665,u14,Male,WI,Wisconsin,,FALSE,,
348d1edd-6535-4e5b-8cd7-07059c18ffd8,Madison 56ers 2012 Boys Silver,Madison 56ers,529965,u14,Male,WI,Wisconsin,,FALSE,,
c6e5ebb0-148e-4474-9d2b-f090c862f1c5,Madison 56ers 2012 Boys White,Madison 56ers,293777,u14,Male,WI,Wisconsin,,FALSE,,
58dba86f-1e12-47f9-becd-719a353d3a78,Madison 56ers 2012 Boys Blue,Madison 56ers,567222,u14,Male,WI,Wisconsin,2012,FALSE,,
4457f288-02e8-4a6c-8257-7cc0539ff453,Madison 56ers 2012 Boys Red,Madison 56ers,637107,u14,Male,WI,Wisconsin,2012,FALSE,,
2a7eb138-35d4-4e5e-8ea0-053a760ff01d,Magic Soccer Club - 14U Boys Green,Magic Soccer Club,577369,u14,Male,WI,Wisconsin,,FALSE,,
c99a0c57-8d12-46f0-ae32-634f5b7c44ac,Magic 2012 B Green,Magic Soccer Club,529970,u14,Male,WI,Wisconsin,,FALSE,,
9abd3d13-b0d3-4dd1-a3b8-ed4b95d23010,MC United 2012B Spartans,Marathon County United SC,685862,u14,Male,WI,Wisconsin,,FALSE,,
11b2c2d7-e13e-4439-8eb4-4388529a4ddb,McFarland 2012 B Blue,McFarland Soccer Club,523673,u14,Male,WI,Wisconsin,,FALSE,,
9c8930ea-eab0-4a66-967a-16f41a10633a,McFarland Soccer Club - U13 U14B White,McFarland Soccer Club,577361,u14,Male,WI,Wisconsin,,FALSE,,
a8ab0d7f-ae9a-4fd2-9791-d09d208a7465,Middleton United 2012 Boys Black,Middleton United Soccer Club,661650,u14,Male,WI,Wisconsin,,FALSE,,
fcacf9ab-d2b8-4874-bdd9-6863e6746ceb,Middleton United 2012 Boys Red,Middleton United Soccer Club,345866,u14,Male,WI,Wisconsin,,FALSE,,
4726e361-e970-4ebc-867a-242518809d44,Milton Soccer Club B 2012 Red,Milton Soccer Club,367927,u14,Male,WI,Wisconsin,,FALSE,,
b46172e1-7785-495a-855c-72ae05726d58,MKSC Union 2012 Boys Red,Milwaukee Kickers Academy,392573,u14,Male,WI,Wisconsin,,FALSE,,
12e73a12-3d5a-4336-8c39-5cadf333bb07,Mukwonago 2012 Boys Blue,Milwaukee Kickers Soccer Club - Mukwonago,314104,u14,Male,WI,Wisconsin,,FALSE,,
0b2556fc-3dbd-457f-9df6-0fb52ec469bf,MK TO U13B Villagers Red (2012),Milwaukee Kickers Soccer Club - Tosa,392829,u14,Male,WI,Wisconsin,,FALSE,,
fe6ab580-5fcd-45c1-8eea-4b8786fd4034,Milwaukee Simba SC U14,Milwaukee Simba SC,557575,u14,Male,WI,Wisconsin,,FALSE,,
0d5fbd2e-c373-4756-8d85-89f7a7197146,Mount Horeb Youth Soccer Club - MHSC U14B Red,Mount Horeb Youth Soccer Club,577373,u14,Male,WI,Wisconsin,,FALSE,,
75c197ca-4aa2-4886-8a3b-3752e050ea91,2012B Norski SC Premier,Norski SC,392415,u14,Male,WI,Wisconsin,,FALSE,,
1e29eb76-c1d3-49c4-8387-2a666c02682a,2012B Norski SC Gold,Norski SC,292622,u14,Male,WI,Wisconsin,,FALSE,,
f6414a6a-22e3-477b-a999-2a8b4c6ed09b,North Shore United 2012 Boys Blue,North Shore United,390994,u14,Male,WI,Wisconsin,,FALSE,,
a57fea78-db7c-4841-a023-c4c87bbad697,2012B Orange,Oregon SC,392006,u14,Male,WI,Wisconsin,,FALSE,,
513baec8-8559-466e-9cf8-fb7bce6058b4,PlymouthSC 2012 Boys,Plymouth Soccer Club,389265,u14,Male,WI,Wisconsin,,FALSE,,
8df5463f-6c5e-4c99-b6b8-9efba8f20d94,PWSC U13B,Port Washington Soccer Club,392877,u14,Male,WI,Wisconsin,,FALSE,,
bc5fc232-c6e7-494a-ad21-c9f46ec2d8d5,PCYS 2012B Wendorff,Portage County Youth Soccer (PCYS),685864,u14,Male,WI,Wisconsin,,FALSE,,
d9662606-285f-4075-9718-6d70ce22fe91,2012 Boys Premier,Rush Union Wisconsin,393063,u14,Male,WI,Wisconsin,,FALSE,,
d18368d4-a946-469f-9a93-e4414992a884,2012 Boys Select,Rush Union Wisconsin,583690,u14,Male,WI,Wisconsin,,FALSE,,
2d4c81ee-c7a3-4acf-abce-98b1535de451,Rush WI 2012 B - Rush,RUSH Wisconsin,458954,u14,Male,WI,Wisconsin,,FALSE,,
7223abdd-7ad7-45f4-a941-9011f89a5fa4,Rush WI 2012 Boys Blue,RUSH Wisconsin,546382,u14,Male,WI,Wisconsin,,FALSE,,
59ffb929-aa3c-41b5-b941-86f4103b328b,Rush Wisconsin West 12B,RUSH Wisconsin West,607755,u14,Male,WI,Wisconsin,,FALSE,,
2beaab90-4a06-4416-8559-8cee728c776f,RUSH Wisconsin West 2012B,RUSH Wisconsin West,400470,u14,Male,WI,Wisconsin,,FALSE,,
ec161af5-7f02-49c6-a8fa-61924825d434,Sauk Prairie 2012B Red,Sauk Prairie Strikers,529964,u14,Male,WI,Wisconsin,,FALSE,,
