team_id_master,team_name,club_name,alias,division,age_group,gender,state_code,state,birth_year,is_deprecated,modular11_alias
eb03a857-6251-4276-98dc-d44a991e9666,Abbey Villa S.C. Greater Lowell 2012 Boys,Abbey Villa Soccer Club,271978,,u14,Male,MA,Massachusetts,,FALSE,
41c5a9f2-3811-4301-a3e3-44d8531ee73a,Abbey Villa S.C. Metro West 2012 Boys,Abbey Villa Soccer Club,135172,,u14,Male,MA,Massachusetts,,FALSE,
cae47b94-e094-4a8a-9dee-edec9eeecaed,ACI 2012 Elite Boys,AC Independence,141856,,u14,Male,MA,Massachusetts,,FALSE,
591c9a86-445d-46ef-b36b-27e874edd9d6,Acushnet FC (Garcia),Acushnet Youth Soccer,256570,,u14,Male,MA,Massachusetts,,FALSE,
f1dc7ef1-7e86-4ecd-8877-8242964d2569,BEST FC 2012 Boys National,Best FC,107468,,u14,Male,MA,Massachusetts,,FALSE,
c086780b-ae46-40f0-aaa3-5cd2f8b56c6e,BEST FC 2012 Boys Red Regional,Best FC,127511,,u14,Male,MA,Massachusetts,,FALSE,
d63d86f0-8b59-4c67-982d-3af5d9cb96d8,B2012 Matias SS,Boston Football Club,520157,,u14,Male,MA,Massachusetts,,FALSE,
1495ad51-3461-4a59-9713-274ab1ba3c47,Boston Vigor FC Boys 2012 Barca,Boston Vigor FC,519684,,u14,Male,MA,Massachusetts,,FALSE,
230488db-cf91-4ddc-9ec0-405dfd4ad9f1,BESA - 2012,Brazil Elite Soccer Academy,439452,,u14,Male,MA,Massachusetts,,FALSE,
212a60b2-45ef-4e4d-8eba-aa85c5ac030b,Burlington Soccer Academy 2012 Boys,Burlington Youth Soccer Assoc. of Mass,272527,,u14,Male,MA,Massachusetts,,FALSE,
2cc6bda7-4cb0-4a1a-b3ee-afc31779ec3c,U13 Boys 2012,Cambridge City FC,517113,,u14,Male,MA,Massachusetts,,FALSE,
32318c4f-0616-459b-878c-6d8306671e0e,2012 Boys Boston National,FC Boston Bolts,132879,,u14,Male,MA,Massachusetts,,FALSE,
2bb95430-ed38-4bc6-ac6a-daa6d2f54b0a,2012 Boys Revere,FC Boston Bolts,132787,,u14,Male,MA,Massachusetts,,FALSE,
48d58f90-34c4-4259-bbd3-788121cac517,2012 Boys South Shore NAL,FC Boston Bolts,132807,,u14,Male,MA,Massachusetts,,FALSE,
36d11414-b72f-4cc1-bffb-9bc58c92cd43,2012 Boys South Shore National,FC Boston Bolts,132817,,u14,Male,MA,Massachusetts,,FALSE,
fabd89bc-b3e8-44a6-bfde-dfa3101d28e9,Boston Bolts B2012 BUFC,FC Boston Bolts,519578,,u14,Male,MA,Massachusetts,,FALSE,
