team_id_master,team_name,club_name,alias,division,age_group,gender,state_code,state,birth_year,is_deprecated,provider_id,modular11_alias
809df644-412b-47fb-b9f9-7810309f3e04,Albion SC Santa Ana 11B EA1,ALBION SC Los Angeles,474548,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
11cabf7c-05dc-42f0-b0e1-2bc193895a2d,ALBION SC Los Angeles U15 HD,ALBION SC Los Angeles,103_U15_HD,HD,u15,Male,CA,California,,FALSE,b376e2a4-4b81-47be-b2aa-a06ba0616110,
dfb61f5b-f75b-4309-aa3b-8a70fdc5dd2b,ALBION SC Los Angeles U15 AD,ALBION SC Los Angeles,103_U15_AD,AD,u15,Male,CA,California,,FALSE,b376e2a4-4b81-47be-b2aa-a06ba0616110,
a0daee60-abd3-4d2e-b968-3d0a3082993b,Albion SC Los Angeles  - B11 EA,ALBION SC Los Angeles,121827,,u15,Male,CA,California,,FALSE,ea79aa6e-679f-4b5b-92b1-e9f502df7582,
69c188d4-77d2-43f4-bec8-3ed3dde6e0f7,U15 MLS NEXT Academy,ALBION SC Merced,116114,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
63f4e12b-539b-41e3-a21b-ce8d082cefd3,U15 MLS NEXT Homegrown,ALBION SC Merced,390791,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
167e5ddb-27ec-4fe3-9e96-bf0ad3d0d4d5,ALBION SC Merced U15 HD,ALBION SC Merced,568_U15_HD,HD,u15,Male,CA,,,FALSE,b376e2a4-4b81-47be-b2aa-a06ba0616110,
be8bf316-b329-4c90-9e44-d22070301b9e,ALBION SC Merced U15 AD,ALBION SC Merced,568_U15_AD;568_U15,AD,u15,Male,CA,,,FALSE,b376e2a4-4b81-47be-b2aa-a06ba0616110,
56ebb2f7-3945-43d0-b7b7-bf86b31c7749,ALBION SC Merced U15,ALBION SC Merced U15,,,u15,Male,CA,,,FALSE,b376e2a4-4b81-47be-b2aa-a06ba0616110,
d04bb4a1-0fa8-469b-8745-e7e37eee8581,ALBION SC Riverside B11 EA,ALBION SC Riverside,383850,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
2adb4db3-a94a-4b60-bb10-22f715aed0c9,ALBION SC Riverside B11 MLS AD,ALBION SC Riverside,116182,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
d09cc19d-37e4-4772-800f-5d749fd7891a,ALBION SC Riverside B11 Premier,ALBION SC Riverside,149510,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
ca916970-0bd5-4b81-98b3-64381d4924b5,ALBION SC Riverside B12 Academy,ALBION SC Riverside,624327,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
52a1fe43-fbd3-424e-b8ed-6e9de0d6429b,Albion SC Riverside - ALBION SC Riverside B12 EA,ALBION SC Riverside,,,u15,Male,CA,California,,FALSE,ea79aa6e-679f-4b5b-92b1-e9f502df7582,
dd53ff8d-5ae8-4b1a-962e-0c89b46f25c6,ALBION SC Riverside U15 AD,ALBION SC Riverside,871_U15_AD,AD,u15,Male,CA,California,,FALSE,b376e2a4-4b81-47be-b2aa-a06ba0616110,
57ce695c-153d-480e-aef7-87ccee578ef7,Albion SC Riverside - B11 EA,ALBION SC Riverside,120161,,u15,Male,CA,California,,FALSE,ea79aa6e-679f-4b5b-92b1-e9f502df7582,
7629e874-7c23-4d72-ade2-d2a0047d8007,Albion SC Riverside - B11 EA,ALBION SC Riverside,106750,,u15,Male,CA,California,,FALSE,ea79aa6e-679f-4b5b-92b1-e9f502df7582,
cc3ee067-ae39-418d-bafa-3d60ae3f97a4,ALBION SC San Diego B11 EA,ALBION SC San Diego,137712,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
e5fc0dfa-38c5-4b9b-bb2a-1b186981f829,ALBION SC San Diego B11 MLS NEXT AD,ALBION SC San Diego,137711,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
444a8ac6-5c3b-4503-9dbe-06afe0bdb825,Albion SC San Diego B11 MLS NEXT HD,ALBION SC San Diego,113662,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
f55ad3a2-a0c3-4062-bfe4-d33a8289d214,ALBION SC San Diego CS B11 Academy,ALBION SC San Diego,480822,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
fa5706d2-78bb-4057-89d7-47b794529afa,ALBION SC San Diego CS B11 Academy (do not use),ALBION SC San Diego,92709,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
1e5b5e87-83b6-49dc-b3a2-15cb4bf269b1,ALBION SC San Diego CV B11 EA2,ALBION SC San Diego,139494,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
337595e0-630d-4b1f-8761-1c4a57fe62ef,ALBION SC San Diego U15 AD,ALBION SC San Diego,101_U15_AD;101_U15_HD,AD,u15,Male,CA,California,,FALSE,b376e2a4-4b81-47be-b2aa-a06ba0616110,
4a8131a5-015f-4557-ba43-560ecdc0c304,ALBION SC San Diego U15,ALBION SC San Diego,101_U15,,u15,Male,CA,California,,FALSE,b376e2a4-4b81-47be-b2aa-a06ba0616110,
0b96dd2f-1a1d-4fff-bf30-45ea9d5689d3,ALBION SC Santa Ana U15 AD,ALBION SC Santa Ana,1125_U15_AD,AD,u15,Male,CA,California,,FALSE,b376e2a4-4b81-47be-b2aa-a06ba0616110,
31deccd0-aa0d-484f-a2c8-8c8849111f0d,ALBION SC Santa Monica 2011 Boys EA,ALBION SC Santa Monica,138994,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
f299c300-2f26-40da-80f8-7cc7e34ebfd9,ALBION SC Santa Monica B11 Academy,ALBION SC Santa Monica,348194;106927,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
2c007103-db64-46cf-9f6e-e1856c352d54,ALBION SC Santa Monica B11 Premier,ALBION SC Santa Monica,605927,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
652957d5-f280-4d69-a64a-d172f1b607f2,B2011 EA,ALBION SC Santa Monica,,,u15,Male,CA,,,FALSE,ea79aa6e-679f-4b5b-92b1-e9f502df7582,
1fc13ec7-6919-4510-b68e-128fcc220b74,SM B11 Academy,ALBION SC Silicon Valley San Mateo,86144,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
90132a15-d600-4ec7-8966-8fb3a8a9d80d,Alliance 2011,Alliance SC,569224,,u15,Male,CA,California,2011,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
d1eacfe0-206e-4dc3-8178-401255d59ee6,11B Black,Allstars United,61444,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
49c85615-f431-4b42-bc28-8c541fe75954,11B Red,Allstars United,61442,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
140cfb5a-76aa-4513-9fea-c3b50c3a9a89,11B White,Allstars United,61443,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
48c77f0e-f3f7-41a9-8c34-41a011a1eee4,Almaden FC Mercury 11B Black,Almaden FC,103062,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
88de609e-8ad9-42c6-828e-cbfc0b37051a,Almaden FC Mercury 11B White,Almaden FC,103066,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
a314860f-abfc-4a15-94e6-e50afd5172b2,Almaden FC Mercury 11B Yellow,Almaden FC,103072,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
24194a73-5a17-4a01-947a-40ce25bb3a5a,Almaden FC Mercury B11 Green,Almaden FC,74946,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
49b4a2cd-188f-430c-a96a-728c6d1ca5bc,Almaden FC U15 AD,Almaden FC,990_U15_AD,AD,u15,Male,CA,,,FALSE,b376e2a4-4b81-47be-b2aa-a06ba0616110,
