team_id_master,team_name,club_name,alias,division,age_group,gender,state_code,state,birth_year,is_deprecated,modular11_alias,,,,
16ca665c-4037-49ba-80e5-f487f512911d,ADF Deportivo rose city B2012 black,ADF Portland,622122,,u14,Male,OR,Oregon,2012,FALSE,,,,,
ca4a9fef-c119-4d81-986b-01425ac74871,ADF B12 Deportivo Rose City Premier,ADF Portland,622118,,u14,Male,OR,Oregon,2012,FALSE,,,,,
09ece7db-6b90-4ca5-974c-1f85a3df2ed0,ADF Deportivo Rose City Rosa 12B,ADF Portland,612775,,u14,Male,OR,Oregon,2012,FALSE,,,,,
65c67c5c-ff49-404a-b27d-622ad413a1f2,ADF PORTLAND DEPORTIVO ROSE CITY 2012 BLACK,ADF Portland,479984,,u14,Male,OR,Oregon,2012,FALSE,,,,,
151f6779-f18f-4fe0-9784-a8f55223f3dc,Albion B12 Academy,Albion SC Portland,633813,,u14,Male,OR,Oregon,2012,FALSE,,,,,
f0d9e719-410f-4fe2-86a0-6a664db1cdea,Albion B12 Academy 1,Albion SC Portland,634997,,u14,Male,OR,Oregon,2012,FALSE,,,,,
eecf5e51-c4a2-497f-b169-56ec0dc85d62,ALBION SC Portland B12 Academy,Albion SC Portland,391034,,u14,Male,OR,Oregon,2012,FALSE,,,,,
35031f2c-2a79-4de3-9dad-93403006595e,Apex FC 2012 Boys Navy,Apex FC,374107,,u14,Male,OR,Oregon,2012,FALSE,,,,,
dca4e32e-68cf-4cd6-a634-cda81d0e25d7,BUSC Hotshots 12B,Basin United SC,237624,,u14,Male,OR,Oregon,2012,FALSE,,,,,
4e7b29c3-1d2f-4682-b01a-8fccede3875d,Bend FC 12B Select,Bend FC,251917,,u14,Male,OR,Oregon,2012,FALSE,,,,,
b9099c73-edcf-4341-a240-8396ac952d3a,Mad City FC BU13,Bend FC,384521,,u14,Male,OR,Oregon,2012,FALSE,,,,,
96ee1d03-9281-4233-8560-9a46b1f032b8,Bend FC 12B Premier,Bend FC,245653,,u14,Male,OR,Oregon,2012,FALSE,,,,,
6ef5b978-8262-4d38-8cd3-1eda2e5b28c6,Bend FC 12B Competitive,Bend FC,255508,,u14,Male,OR,Oregon,2012,FALSE,,,,,
0fcf9155-c504-4e69-8641-e40d75de740d,Atletico Canby 12B Gold,Bridge City Soccer Academy,633454,,u14,Male,OR,Oregon,2012,FALSE,,,,,
664051f9-0bd0-4ab6-b3a5-8286b0e1384c,Capital FC 12B White,Capital FC,247985,,u14,Male,OR,Oregon,2012,FALSE,,,,,
8bf312e5-4ab2-4232-ba9c-c2f218548ca8,Capital FC ECNL-RL B12,Capital FC,247907; 116412,,u14,Male,OR,Oregon,2012,FALSE,,,,,
f97c6008-229e-4071-b7dc-9abc098d36c6,Capital FC ECNL B12,Capital FC,247984; 96283,,u14,Male,OR,Oregon,2012,FALSE,,,,,
488a531e-f0e6-44a3-b62e-f3ba5a56d7c1,CCSA United,Central Coast United FC,524036,,u14,Male,OR,Oregon,2012,FALSE,,,,,
cbb3771e-1bae-484a-a049-f365a9338f6e,CUSC 12B Predators,Clackamas United Soccer Club,258447,,u14,Male,OR,Oregon,2012,FALSE,,,,,
9fd61940-1982-4312-877c-a9191089605d,CUSC 12B Lions,Clackamas United Soccer Club,621446,,u14,Male,OR,Oregon,2012,FALSE,,,,,
e6f7ae6c-38ab-4948-a429-306cb637d2c4,EST 12B Red II,Eastside Timbers,646546,,u14,Male,OR,Oregon,2012,FALSE,,,,,
9f83aef8-1c23-47d7-8a69-903f3affe2b7,Eastside Timbers ECNL RL B12,Eastside Timbers,381598,,u14,Male,OR,Oregon,2012,FALSE,,,,,
fc6df73c-83de-4884-acbf-85727d5836fb,EMFC 12B Atletico Comp 2,Eugene Metro FC,622714,,u14,Male,OR,Oregon,2012,FALSE,,,,,
b82aeba4-8c80-46d5-b1a4-8dfdae813e23,EMFC 2012B Atletico Comp 1,Eugene Metro FC,622897,,u14,Male,OR,Oregon,2012,FALSE,,,,,
6a802f1e-c4bd-4fa0-8028-824d14dcb177,Eugene Metro ECNL B12,Eugene Metro FC,,,u14,Male,OR,Oregon,2012,FALSE,,,,,
